#Pb4(OH)4+4	#Pb2OH+3	Pb
-21.02	-7.19	6.42096089683e-05
-21.02	-6.765	6.42101493268e-05
-21.02	-6.34	6.42115860254e-05
-20.0	-7.19	6.42541035853e-05
-20.0	-6.765	6.4254612749e-05
-20.0	-6.34	6.42559667317e-05
-18.98	-7.19	6.45988992811e-05
-18.98	-6.765	6.45992651785e-05
-18.98	-6.34	6.46002388337e-05
