#Pb(OH)2	#Pb3(OH)4+2	Pb
-17.85	-23.9	6.37241406495e-05
-17.85	-23.19	6.38885610972e-05
-17.85	-22.48	6.4647266147e-05
-17.2	-23.9	6.38565584908e-05
-17.2	-23.19	6.40207199938e-05
-17.2	-22.48	6.47784372044e-05
-16.55	-23.9	6.43980457691e-05
-16.55	-23.19	6.45619906016e-05
-16.55	-22.48	6.53187109137e-05
