Hydrocerrusite	#PbHCO3+	Pb
-19.13	-7.94	2.96930141016e-05
-19.13	-7.055	2.96930141016e-05
-19.13	-6.17	2.96930141016e-05
-17.685	-7.94	5.28916987308e-05
-17.685	-7.055	5.28916987308e-05
-17.685	-6.17	5.28916987308e-05
-16.24	-7.94	0.000110480097336
-16.24	-7.055	0.000110480097336
-16.24	-6.17	0.000110480109464
