#PbHCO3+	Hydrocerrusite	Pb
-7.94	-19.13	2.96930141016e-05
-7.94	-17.685	5.28916987308e-05
-7.94	-16.24	0.000110480097336
-7.055	-19.13	2.96930141016e-05
-7.055	-17.685	5.28916987308e-05
-7.055	-16.24	0.000110480097336
-6.17	-19.13	2.96930141016e-05
-6.17	-17.685	5.28916987308e-05
-6.17	-16.24	0.000110480109464
