#PbOH+	#Pb4(OH)4+4	Pb
-7.94	-21.02	5.3739752593e-05
-7.94	-20.0	5.38396742875e-05
-7.94	-18.98	5.4566733281e-05
-7.055	-21.02	5.8413580515e-05
-7.055	-20.0	5.84457407724e-05
-7.055	-18.98	5.87392780825e-05
-6.17	-21.02	8.04780112125e-05
-6.17	-20.0	8.04792680062e-05
-6.17	-18.98	8.04923960703e-05
