Hydrocerrusite	#Pb3(OH)4+2	Pb
-19.13	-23.9	2.96929320225e-05
-19.13	-23.19	2.9692966748e-05
-19.13	-22.48	2.96931435343e-05
-17.685	-23.9	5.28623918854e-05
-17.685	-23.19	5.28759644203e-05
-17.685	-22.48	5.29367398867e-05
-16.24	-23.9	0.000109423421001
-16.24	-23.19	0.000109902340524
-16.24	-22.48	0.000112114543036
