#Pb3(OH)4+2	#Pb(OH)2	Pb
-23.9	-17.85	6.37241406495e-05
-23.9	-17.2	6.38565584908e-05
-23.9	-16.55	6.43980457691e-05
-23.19	-17.85	6.38885610972e-05
-23.19	-17.2	6.40207199938e-05
-23.19	-16.55	6.45619906016e-05
-22.48	-17.85	6.4647266147e-05
-22.48	-17.2	6.47784372044e-05
-22.48	-16.55	6.53187109137e-05
