#Pb4(OH)4+4	#PbOH+	Pb
-21.02	-7.94	5.3739752593e-05
-21.02	-7.055	5.8413580515e-05
-21.02	-6.17	8.04780112125e-05
-20.0	-7.94	5.38396742875e-05
-20.0	-7.055	5.84457407724e-05
-20.0	-6.17	8.04792680062e-05
-18.98	-7.94	5.4566733281e-05
-18.98	-7.055	5.87392780825e-05
-18.98	-6.17	8.04923960703e-05
