#PbHCO3+	#Pb3(OH)4+2	Pb
-7.94	-23.9	6.39929149697e-05
-7.94	-23.19	6.41570905637e-05
-7.94	-22.48	6.4914804635e-05
-7.055	-23.9	6.39929149697e-05
-7.055	-23.19	6.41570905637e-05
-7.055	-22.48	6.4914804635e-05
-6.17	-23.9	6.399291497e-05
-6.17	-23.19	6.41570905652e-05
-6.17	-22.48	6.49148048898e-05
