#Pb2OH+3	#Pb4(OH)4+4	Pb
-7.19	-21.02	6.42096089683e-05
-7.19	-20.0	6.42541035853e-05
-7.19	-18.98	6.45988992811e-05
-6.765	-21.02	6.42101493268e-05
-6.765	-20.0	6.4254612749e-05
-6.765	-18.98	6.45992651785e-05
-6.34	-21.02	6.42115860254e-05
-6.34	-20.0	6.42559667317e-05
-6.34	-18.98	6.46002388337e-05
