#Pb3(OH)4+2	#PbHCO3+	Pb
-23.9	-7.94	6.39929149697e-05
-23.9	-7.055	6.39929149697e-05
-23.9	-6.17	6.399291497e-05
-23.19	-7.94	6.41570905637e-05
-23.19	-7.055	6.41570905637e-05
-23.19	-6.17	6.41570905652e-05
-22.48	-7.94	6.4914804635e-05
-22.48	-7.055	6.4914804635e-05
-22.48	-6.17	6.49148048898e-05
