	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
140	10	100	8.2	5.4	-8.72	-13.64	-16.25	1.0001568911180001e-06
1868	10	100	8.2	5.4	-8.49	-13.64	-16.25	1.016463028291e-06
3596	10	100	8.2	5.4	-8.26	-13.64	-16.25	1.0441548259459999e-06
5324	10	100	8.2	5.4	-8.03	-13.64	-16.25	1.0911822562229999e-06
7052	10	100	8.2	5.4	-7.8	-13.64	-16.25	1.1710463220040001e-06
8780	10	100	8.2	5.4	-7.597	-13.64	-16.25	1.286791488878e-06
10508	10	100	8.2	5.4	-7.33	-13.64	-16.25	1.55005474914e-06
12224	10	100	8.2	5.4	-7.1	-13.64	-16.5	1.0994424328770001e-06
13952	10	100	8.2	5.4	-6.87	-13.64	-16.5	1.481722710707e-06
15668	10	100	8.2	5.4	-6.64	-13.64	-16.76	1.1740390674059999e-06
15836	10	100	8.2	5.4	-6.64	-13.39	-16.25	1.206823576153e-06
17384	10	100	8.2	5.4	-6.41	-13.64	-17.01	1.004192559509e-06
17552	10	100	8.2	5.4	-6.41	-13.39	-16.5	1.0338412459969999e-06
20876	10	100	8.2	5.58	-8.72	-13.64	-16.25	1.003099649643e-06
22604	10	100	8.2	5.58	-8.49	-13.64	-16.25	1.019405786805e-06
24332	10	100	8.2	5.58	-8.26	-13.64	-16.25	1.047097584442e-06
26060	10	100	8.2	5.58	-8.03	-13.64	-16.25	1.0941250146909999e-06
27788	10	100	8.2	5.58	-7.8	-13.64	-16.25	1.1739890804209998e-06
29516	10	100	8.2	5.58	-7.597	-13.64	-16.25	1.2897342472219999e-06
32960	10	100	8.2	5.58	-7.1	-13.64	-16.5	1.1023851758469998e-06
34688	10	100	8.2	5.58	-6.87	-13.64	-16.5	1.4846654534360001e-06
36404	10	100	8.2	5.58	-6.64	-13.64	-16.76	1.176981781614e-06
36572	10	100	8.2	5.58	-6.64	-13.39	-16.25	1.212056460847e-06
38120	10	100	8.2	5.58	-6.41	-13.64	-17.01	1.007135224277e-06
41612	10	100	8.2	5.76	-8.72	-13.64	-16.25	1.007553694974e-06
43340	10	100	8.2	5.76	-8.49	-13.64	-16.25	1.023859832057e-06
45068	10	100	8.2	5.76	-8.26	-13.64	-16.25	1.051551629731e-06
46796	10	100	8.2	5.76	-8.03	-13.64	-16.25	1.0985790598709999e-06
48524	10	100	8.2	5.76	-7.8	-13.64	-16.25	1.1784431255260001e-06
50252	10	100	8.2	5.76	-7.597	-13.64	-16.25	1.2941882922159999e-06
53696	10	100	8.2	5.76	-7.1	-13.64	-16.5	1.1068391975700002e-06
55424	10	100	8.2	5.76	-6.87	-13.64	-16.5	1.4891194747959998e-06
57140	10	100	8.2	5.76	-6.64	-13.64	-16.76	1.181435759806e-06
57308	10	100	8.2	5.76	-6.64	-13.39	-16.25	1.219976752338e-06
58856	10	100	8.2	5.76	-6.41	-13.64	-17.01	1.011589127652e-06
59024	10	100	8.2	5.76	-6.41	-13.39	-16.5	1.04699403674e-06
62348	10	100	8.2	5.95	-8.72	-13.64	-16.25	1.0147579591639998e-06
64076	10	100	8.2	5.95	-8.49	-13.64	-16.25	1.031064096286e-06
65804	10	100	8.2	5.95	-8.26	-13.64	-16.25	1.058755893867e-06
67532	10	100	8.2	5.95	-8.03	-13.64	-16.25	1.105783323999e-06
69260	10	100	8.2	5.95	-7.8	-13.64	-16.25	1.185647389517e-06
70988	10	100	8.2	5.95	-7.597	-13.64	-16.25	1.3013925560299998e-06
74432	10	100	8.2	5.95	-7.1	-13.64	-16.5	1.114043423743e-06
76160	10	100	8.2	5.95	-6.87	-13.64	-16.5	1.496323700381e-06
77876	10	100	8.2	5.95	-6.64	-13.64	-16.76	1.18863991559e-06
78044	10	100	8.2	5.95	-6.64	-13.39	-16.25	1.232787550043e-06
79592	10	100	8.2	5.95	-6.41	-13.64	-17.01	1.018793162401e-06
79760	10	100	8.2	5.95	-6.41	-13.39	-16.5	1.059804459035e-06
81476	10	100	8.2	5.95	-6.18	-13.39	-16.76	9.279055517365e-07
81644	10	100	8.2	5.95	-6.18	-13.13	-16.25	9.488309899399e-07
83084	10	100	8.2	6.13	-8.72	-13.64	-16.25	1.025199260424e-06
84812	10	100	8.2	6.13	-8.49	-13.64	-16.25	1.041505397509e-06
86540	10	100	8.2	6.13	-8.26	-13.64	-16.25	1.069197195015e-06
88268	10	100	8.2	6.13	-8.03	-13.64	-16.25	1.116224625042e-06
89996	10	100	8.2	6.13	-7.8	-13.64	-16.25	1.1960886904889999e-06
91724	10	100	8.2	6.13	-7.597	-13.64	-16.25	1.31183385665e-06
95168	10	100	8.2	6.13	-7.1	-13.64	-16.5	1.124484669809e-06
96896	10	100	8.2	6.13	-6.87	-13.64	-16.5	1.5067649455959998e-06
98612	10	100	8.2	6.13	-6.64	-13.64	-16.76	1.199081059588e-06
98780	10	100	8.2	6.13	-6.64	-13.39	-16.25	1.251354525603e-06
100328	10	100	8.2	6.13	-6.41	-13.64	-17.01	1.029234131033e-06
100496	10	100	8.2	6.13	-6.41	-13.39	-16.5	1.078370890487e-06
102212	10	100	8.2	6.13	-6.18	-13.39	-16.76	9.464709570558e-07
102380	10	100	8.2	6.13	-6.18	-13.13	-16.25	9.826108532592e-07
103820	10	100	8.2	6.31	-8.72	-13.64	-16.25	1.041002809393e-06
105548	10	100	8.2	6.31	-8.49	-13.64	-16.25	1.0573089464229999e-06
107276	10	100	8.2	6.31	-8.26	-13.64	-16.25	1.085000744034e-06
109004	10	100	8.2	6.31	-8.03	-13.64	-16.25	1.1320281737049999e-06
110732	10	100	8.2	6.31	-7.8	-13.64	-16.25	1.211892238789e-06
112460	10	100	8.2	6.31	-7.597	-13.64	-16.25	1.3276374048520001e-06
115904	10	100	8.2	6.31	-7.1	-13.64	-16.5	1.1402881352409999e-06
117632	10	100	8.2	6.31	-6.87	-13.64	-16.5	1.522568409739e-06
119348	10	100	8.2	6.31	-6.64	-13.64	-16.76	1.2148843705729998e-06
119516	10	100	8.2	6.31	-6.64	-13.39	-16.25	1.2794567802709998e-06
121064	10	100	8.2	6.31	-6.41	-13.64	-17.01	1.04503717655e-06
121232	10	100	8.2	6.31	-6.41	-13.39	-16.5	1.10647232165e-06
122780	10	100	8.2	6.31	-6.18	-13.64	-17.26	9.347924207185998e-07
122948	10	100	8.2	6.31	-6.18	-13.39	-16.76	9.745708351095e-07
123116	10	100	8.2	6.31	-6.18	-13.13	-16.25	1.033738745357e-06
124556	10	100	8.2	6.48	-8.72	-13.64	-16.25	1.063317771843e-06
126284	10	100	8.2	6.48	-8.49	-13.64	-16.25	1.079623908549e-06
128012	10	100	8.2	6.48	-8.26	-13.64	-16.25	1.107315705831e-06
129740	10	100	8.2	6.48	-8.03	-13.64	-16.25	1.154343135447e-06
131468	10	100	8.2	6.48	-7.8	-13.64	-16.25	1.2342072001520001e-06
133196	10	100	8.2	6.48	-7.597	-13.64	-16.25	1.3499523655379998e-06
134912	10	100	8.2	6.48	-7.33	-13.64	-16.5	9.375000819060999e-07
136640	10	100	8.2	6.48	-7.1	-13.64	-16.5	1.162602979461e-06
138368	10	100	8.2	6.48	-6.87	-13.64	-16.5	1.5448832521389998e-06
138524	10	100	8.2	6.48	-6.87	-13.39	-16.25	9.539424316615e-07
140084	10	100	8.2	6.48	-6.64	-13.64	-16.76	1.23719899669e-06
140252	10	100	8.2	6.48	-6.64	-13.39	-16.25	1.319137788097e-06
141800	10	100	8.2	6.48	-6.41	-13.64	-17.01	1.067351427843e-06
141968	10	100	8.2	6.48	-6.41	-13.39	-16.5	1.146152166652e-06
143516	10	100	8.2	6.48	-6.18	-13.64	-17.26	9.571060027227e-07
143684	10	100	8.2	6.48	-6.18	-13.39	-16.76	1.014248487078e-06
143852	10	100	8.2	6.48	-6.18	-13.13	-16.25	1.105932464665e-06
145292	10	100	8.2	6.67	-8.72	-13.64	-16.25	1.1011262878290001e-06
147020	10	100	8.2	6.67	-8.49	-13.64	-16.25	1.117432424651e-06
148748	10	100	8.2	6.67	-8.26	-13.64	-16.25	1.145124221709e-06
150476	10	100	8.2	6.67	-8.03	-13.64	-16.25	1.192151650974e-06
152204	10	100	8.2	6.67	-7.8	-13.64	-16.25	1.272015715035e-06
153932	10	100	8.2	6.67	-7.597	-13.64	-16.25	1.387760879452e-06
155648	10	100	8.2	6.67	-7.33	-13.64	-16.5	9.753084001299e-07
157376	10	100	8.2	6.67	-7.1	-13.64	-16.5	1.20041129589e-06
159260	10	100	8.2	6.67	-6.87	-13.39	-16.25	1.021174458968e-06
160820	10	100	8.2	6.67	-6.64	-13.64	-16.76	1.2750069435790001e-06
160988	10	100	8.2	6.67	-6.64	-13.39	-16.25	1.386369810156e-06
162536	10	100	8.2	6.67	-6.41	-13.64	-17.01	1.105158739643e-06
162704	10	100	8.2	6.67	-6.41	-13.39	-16.5	1.213382218582e-06
164252	10	100	8.2	6.67	-6.18	-13.64	-17.26	9.949121805442e-07
164420	10	100	8.2	6.67	-6.18	-13.39	-16.76	1.081474823303e-06
164588	10	100	8.2	6.67	-6.18	-13.13	-16.25	1.228251175713e-06
164732	10	100	8.2	6.67	-6.18	-12.9	-16.25	9.916487624559e-07
164876	10	100	8.2	6.67	-6.18	-12.65	-16.25	9.916488436076e-07
165020	10	100	8.2	6.67	-6.18	-12.4	-16.25	9.916487835271999e-07
165164	10	100	8.2	6.67	-6.18	-12.15	-16.25	9.916487835271999e-07
165308	10	100	8.2	6.67	-6.18	-11.9	-16.25	9.916487835271999e-07
165452	10	100	8.2	6.67	-6.18	-11.65	-16.25	9.916487835271999e-07
165596	10	100	8.2	6.67	-6.18	-11.41	-16.25	9.916487835271999e-07
165740	10	100	8.2	6.67	-6.18	-11.16	-16.25	9.916487835271999e-07
165884	10	100	8.2	6.67	-6.18	-10.91	-16.25	9.916487835271999e-07
166028	10	100	8.2	6.85	-8.72	-13.64	-16.25	1.155923015783e-06
167756	10	100	8.2	6.85	-8.49	-13.64	-16.25	1.172229152414e-06
169484	10	100	8.2	6.85	-8.26	-13.64	-16.25	1.199920949148e-06
171212	10	100	8.2	6.85	-8.03	-13.64	-16.25	1.246948377864e-06
172940	10	100	8.2	6.85	-7.8	-13.64	-16.25	1.326812440991e-06
174668	10	100	8.2	6.85	-7.597	-13.64	-16.25	1.4425576040190001e-06
176384	10	100	8.2	6.85	-7.33	-13.64	-16.5	1.030104841062e-06
178112	10	100	8.2	6.85	-7.1	-13.64	-16.5	1.255207734169e-06
