	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
1846	9	200	8.2	5.4	-8.49	-13.64	-16.76	4.715147013984e-07
2014	9	200	8.2	5.4	-8.49	-13.39	-16.25	4.871647970821e-07
3574	9	200	8.2	5.4	-8.26	-13.64	-16.76	5.590027845145001e-07
3742	9	200	8.2	5.4	-8.26	-13.39	-16.25	5.766908705851e-07
7018	9	200	8.2	5.4	-7.8	-13.64	-17.01	5.423682598885e-07
7186	9	200	8.2	5.4	-7.8	-13.39	-16.5	5.59664690093e-07
12178	9	200	8.2	5.4	-7.1	-13.64	-17.52	5.997168327229999e-07
12346	9	200	8.2	5.4	-7.1	-13.39	-17.01	6.183881627500999e-07
12514	9	200	8.2	5.4	-7.1	-13.13	-16.5	6.137322383024e-07
13894	9	200	8.2	5.4	-6.87	-13.64	-17.77	5.498435244952e-07
14062	9	200	8.2	5.4	-6.87	-13.39	-17.26	5.673991762522e-07
14230	9	200	8.2	5.4	-6.87	-13.13	-16.76	5.517024896443e-07
14398	9	200	8.2	5.4	-6.87	-12.9	-16.25	6.312453782373e-07
15610	9	200	8.2	5.4	-6.64	-13.64	-18.03	5.008632658342e-07
15778	9	200	8.2	5.4	-6.64	-13.39	-17.52	5.173638508056e-07
15946	9	200	8.2	5.4	-6.64	-13.13	-17.01	5.154709578152e-07
16114	9	200	8.2	5.4	-6.64	-12.9	-16.5	5.911829068631e-07
17326	9	200	8.2	5.4	-6.41	-13.64	-18.28	4.7151629235459994e-07
17494	9	200	8.2	5.4	-6.41	-13.39	-17.77	4.874815281864999e-07
17662	9	200	8.2	5.4	-6.41	-13.13	-17.26	4.867902931777001e-07
17830	9	200	8.2	5.4	-6.41	-12.9	-16.76	5.482683038453e-07
17998	9	200	8.2	5.4	-6.41	-12.65	-16.25	5.954893553409e-07
19210	9	200	8.2	5.4	-6.18	-13.39	-18.03	4.5210538114090003e-07
19378	9	200	8.2	5.4	-6.18	-13.13	-17.52	4.5319439273879997e-07
19546	9	200	8.2	5.4	-6.18	-12.9	-17.01	5.243226111776e-07
19714	9	200	8.2	5.4	-6.18	-12.65	-16.5	5.779657545756e-07
19858	9	200	8.2	5.4	-6.18	-12.4	-16.5	4.659599958818e-07
19870	9	200	8.2	5.4	-6.18	-12.4	-16.25	5.645232726885e-07
20002	9	200	8.2	5.4	-6.18	-12.15	-16.5	4.659599960305e-07
20014	9	200	8.2	5.4	-6.18	-12.15	-16.25	5.645232726885e-07
20146	9	200	8.2	5.4	-6.18	-11.9	-16.5	4.659599960305e-07
20158	9	200	8.2	5.4	-6.18	-11.9	-16.25	5.645232722641e-07
20290	9	200	8.2	5.4	-6.18	-11.65	-16.5	4.659599960305e-07
20302	9	200	8.2	5.4	-6.18	-11.65	-16.25	5.645232722641e-07
20434	9	200	8.2	5.4	-6.18	-11.41	-16.5	4.659599960305e-07
20446	9	200	8.2	5.4	-6.18	-11.41	-16.25	5.645232722641e-07
20578	9	200	8.2	5.4	-6.18	-11.16	-16.5	4.659599960305e-07
20590	9	200	8.2	5.4	-6.18	-11.16	-16.25	5.645232722641e-07
20722	9	200	8.2	5.4	-6.18	-10.91	-16.5	4.659599960305e-07
20734	9	200	8.2	5.4	-6.18	-10.91	-16.25	5.645232722641e-07
22582	9	200	8.2	5.58	-8.49	-13.64	-16.76	4.7445183869700003e-07
22750	9	200	8.2	5.58	-8.49	-13.39	-16.25	4.923878247928e-07
24310	9	200	8.2	5.58	-8.26	-13.64	-16.76	5.619399145212e-07
24478	9	200	8.2	5.58	-8.26	-13.39	-16.25	5.819138875119001e-07
27754	9	200	8.2	5.58	-7.8	-13.64	-17.01	5.453053823132999e-07
27922	9	200	8.2	5.58	-7.8	-13.39	-16.5	5.648877161811999e-07
32914	9	200	8.2	5.58	-7.1	-13.64	-17.52	6.026539549073001e-07
33082	9	200	8.2	5.58	-7.1	-13.39	-17.01	6.236111840768e-07
33250	9	200	8.2	5.58	-7.1	-13.13	-16.5	6.232365575649e-07
34630	9	200	8.2	5.58	-6.87	-13.64	-17.77	5.527806447391e-07
34798	9	200	8.2	5.58	-6.87	-13.39	-17.26	5.72622188979e-07
34966	9	200	8.2	5.58	-6.87	-13.13	-16.76	5.612067831095e-07
35134	9	200	8.2	5.58	-6.87	-12.9	-16.25	6.4738593385e-07
36346	9	200	8.2	5.58	-6.64	-13.64	-18.03	5.038003813268e-07
36514	9	200	8.2	5.58	-6.64	-13.39	-17.52	5.225868499873e-07
36682	9	200	8.2	5.58	-6.64	-13.13	-17.01	5.249752065456e-07
36850	9	200	8.2	5.58	-6.64	-12.9	-16.5	6.073233473133e-07
38062	9	200	8.2	5.58	-6.41	-13.64	-18.28	4.744534002642e-07
38230	9	200	8.2	5.58	-6.41	-13.39	-17.77	4.927045038814e-07
38398	9	200	8.2	5.58	-6.41	-13.13	-17.26	4.962944621397e-07
38566	9	200	8.2	5.58	-6.41	-12.9	-16.76	5.644085278605e-07
38734	9	200	8.2	5.58	-6.41	-12.65	-16.25	6.241905493018001e-07
39778	9	200	8.2	5.58	-6.18	-13.64	-18.53	4.4962664198409995e-07
39946	9	200	8.2	5.58	-6.18	-13.39	-18.03	4.5732831276890003e-07
40114	9	200	8.2	5.58	-6.18	-13.13	-17.52	4.626984117658e-07
40282	9	200	8.2	5.58	-6.18	-12.9	-17.01	5.404624591616e-07
40450	9	200	8.2	5.58	-6.18	-12.65	-16.5	6.066657763885e-07
40594	9	200	8.2	5.58	-6.18	-12.4	-16.5	5.003085990380999e-07
40606	9	200	8.2	5.58	-6.18	-12.4	-16.25	6.061375988502e-07
40738	9	200	8.2	5.58	-6.18	-12.15	-16.5	5.003085990380999e-07
40750	9	200	8.2	5.58	-6.18	-12.15	-16.25	6.061375988502e-07
40882	9	200	8.2	5.58	-6.18	-11.9	-16.5	5.003085990380999e-07
40894	9	200	8.2	5.58	-6.18	-11.9	-16.25	6.061375988502e-07
41026	9	200	8.2	5.58	-6.18	-11.65	-16.5	5.003085990380999e-07
41038	9	200	8.2	5.58	-6.18	-11.65	-16.25	6.061375988502e-07
41170	9	200	8.2	5.58	-6.18	-11.41	-16.5	5.003085990380999e-07
41182	9	200	8.2	5.58	-6.18	-11.41	-16.25	6.061375988502e-07
41314	9	200	8.2	5.58	-6.18	-11.16	-16.5	5.003085990380999e-07
41326	9	200	8.2	5.58	-6.18	-11.16	-16.25	6.061375988502e-07
41458	9	200	8.2	5.58	-6.18	-10.91	-16.5	5.003085990380999e-07
41470	9	200	8.2	5.58	-6.18	-10.91	-16.25	6.061375988502e-07
41758	9	200	8.2	5.76	-8.72	-13.39	-16.25	4.4757636111090003e-07
43318	9	200	8.2	5.76	-8.49	-13.64	-16.76	4.788973444326e-07
43486	9	200	8.2	5.76	-8.49	-13.39	-16.25	5.002931975289001e-07
45046	9	200	8.2	5.76	-8.26	-13.64	-16.76	5.663854274536999e-07
45214	9	200	8.2	5.76	-8.26	-13.39	-16.25	5.89819260008e-07
48490	9	200	8.2	5.76	-7.8	-13.64	-17.01	5.497508965017e-07
48658	9	200	8.2	5.76	-7.8	-13.39	-16.5	5.727930865527e-07
50542	9	200	8.2	5.76	-7.597	-13.13	-16.25	4.516045569612e-07
53650	9	200	8.2	5.76	-7.1	-13.64	-17.52	6.070994692193001e-07
53818	9	200	8.2	5.76	-7.1	-13.39	-17.01	6.315165432983001e-07
53986	9	200	8.2	5.76	-7.1	-13.13	-16.5	6.376219268954001e-07
55366	9	200	8.2	5.76	-6.87	-13.64	-17.77	5.572261556895e-07
55534	9	200	8.2	5.76	-6.87	-13.39	-17.26	5.805275386408e-07
55702	9	200	8.2	5.76	-6.87	-13.13	-16.76	5.755921133923e-07
57082	9	200	8.2	5.76	-6.64	-13.64	-18.03	5.082458855188e-07
57250	9	200	8.2	5.76	-6.64	-13.39	-17.52	5.304921791493e-07
57418	9	200	8.2	5.76	-6.64	-13.13	-17.01	5.393604691128001e-07
57586	9	200	8.2	5.76	-6.64	-12.9	-16.5	6.317528925113e-07
57742	9	200	8.2	5.76	-6.64	-12.65	-16.25	4.5765641525740003e-07
58798	9	200	8.2	5.76	-6.41	-13.64	-18.28	4.788988929787e-07
58966	9	200	8.2	5.76	-6.41	-13.39	-17.77	5.006097975035e-07
59134	9	200	8.2	5.76	-6.41	-13.13	-17.26	5.106796039792e-07
59302	9	200	8.2	5.76	-6.41	-12.9	-16.76	5.88837745471e-07
59458	9	200	8.2	5.76	-6.41	-12.65	-16.5	4.4950068017059993e-07
59614	9	200	8.2	5.76	-6.41	-12.4	-16.25	4.992634481634e-07
59758	9	200	8.2	5.76	-6.41	-12.15	-16.25	4.992634481634e-07
59902	9	200	8.2	5.76	-6.41	-11.9	-16.25	4.992634481634e-07
60046	9	200	8.2	5.76	-6.41	-11.65	-16.25	4.992634481634e-07
60190	9	200	8.2	5.76	-6.41	-11.41	-16.25	4.992634481634e-07
60334	9	200	8.2	5.76	-6.41	-11.16	-16.25	4.992634481634e-07
60478	9	200	8.2	5.76	-6.41	-10.91	-16.25	4.992634481634e-07
60514	9	200	8.2	5.76	-6.18	-13.64	-18.53	4.5407211424289997e-07
60682	9	200	8.2	5.76	-6.18	-13.39	-18.03	4.652335396844e-07
60850	9	200	8.2	5.76	-6.18	-13.13	-17.52	4.770833266693e-07
61018	9	200	8.2	5.76	-6.18	-12.9	-17.01	5.648911076258e-07
61174	9	200	8.2	5.76	-6.18	-12.65	-16.76	4.5238298742980004e-07
61186	9	200	8.2	5.76	-6.18	-12.65	-16.5	6.501050172585e-07
61318	9	200	8.2	5.76	-6.18	-12.4	-16.76	4.5238298742980004e-07
61330	9	200	8.2	5.76	-6.18	-12.4	-16.5	5.522972791774e-07
61462	9	200	8.2	5.76	-6.18	-12.15	-16.76	4.523829874299e-07
61474	9	200	8.2	5.76	-6.18	-12.15	-16.5	5.522972791774e-07
61606	9	200	8.2	5.76	-6.18	-11.9	-16.76	4.523829874299e-07
61618	9	200	8.2	5.76	-6.18	-11.9	-16.5	5.522972791774e-07
61750	9	200	8.2	5.76	-6.18	-11.65	-16.76	4.523829874299e-07
61762	9	200	8.2	5.76	-6.18	-11.65	-16.5	5.522972791774e-07
61894	9	200	8.2	5.76	-6.18	-11.41	-16.76	4.523829874299e-07
61906	9	200	8.2	5.76	-6.18	-11.41	-16.5	5.522972791774e-07
62038	9	200	8.2	5.76	-6.18	-11.16	-16.76	4.523829874299e-07
62050	9	200	8.2	5.76	-6.18	-11.16	-16.5	5.522972791774e-07
62182	9	200	8.2	5.76	-6.18	-10.91	-16.76	4.523829874299e-07
62194	9	200	8.2	5.76	-6.18	-10.91	-16.5	5.522972791774e-07
62494	9	200	8.2	5.95	-8.72	-13.39	-16.25	4.6036302858699997e-07
64054	9	200	8.2	5.95	-8.49	-13.64	-16.76	4.860878167144e-07
64222	9	200	8.2	5.95	-8.49	-13.39	-16.25	5.130798645079e-07
65782	9	200	8.2	5.95	-8.26	-13.64	-16.76	5.735758995341999e-07
65950	9	200	8.2	5.95	-8.26	-13.39	-16.25	6.026059267525e-07
69226	9	200	8.2	5.95	-7.8	-13.64	-17.01	5.569413674761e-07
69394	9	200	8.2	5.95	-7.8	-13.39	-16.5	5.855797500611999e-07
71110	9	200	8.2	5.95	-7.597	-13.39	-16.76	4.540486026537e-07
71278	9	200	8.2	5.95	-7.597	-13.13	-16.25	4.748724294592e-07
74386	9	200	8.2	5.95	-7.1	-13.64	-17.52	6.142899349721e-07
74554	9	200	8.2	5.95	-7.1	-13.39	-17.01	6.443031918392e-07
74878	9	200	8.2	5.95	-7.1	-12.9	-16.25	4.811925560977e-07
76102	9	200	8.2	5.95	-6.87	-13.64	-17.77	5.644166156984e-07
76270	9	200	8.2	5.95	-6.87	-13.39	-17.26	5.933141684476e-07
76438	9	200	8.2	5.95	-6.87	-13.13	-16.76	5.988598878718e-07
76594	9	200	8.2	5.95	-6.87	-12.9	-16.5	4.5147206706920004e-07
77818	9	200	8.2	5.95	-6.64	-13.64	-18.03	5.154363349552e-07
77986	9	200	8.2	5.95	-6.64	-13.39	-17.52	5.432787759194e-07
78154	9	200	8.2	5.95	-6.64	-13.13	-17.01	5.626281340551999e-07
78478	9	200	8.2	5.95	-6.64	-12.65	-16.25	5.279207584752e-07
78622	9	200	8.2	5.95	-6.64	-12.4	-16.25	5.011184091027e-07
78766	9	200	8.2	5.95	-6.64	-12.15	-16.25	5.011184104090001e-07
78910	9	200	8.2	5.95	-6.64	-11.9	-16.25	5.011184104090001e-07
79054	9	200	8.2	5.95	-6.64	-11.65	-16.25	5.011184104090001e-07
79198	9	200	8.2	5.95	-6.64	-11.41	-16.25	5.011184104090001e-07
79342	9	200	8.2	5.95	-6.64	-11.16	-16.25	5.011184104090001e-07
79486	9	200	8.2	5.95	-6.64	-10.91	-16.25	5.011184104090001e-07
79534	9	200	8.2	5.95	-6.41	-13.64	-18.28	4.860893239039e-07
79702	9	200	8.2	5.95	-6.41	-13.39	-17.77	5.133963367537e-07
79870	9	200	8.2	5.95	-6.41	-13.13	-17.26	5.33947073648e-07
80038	9	200	8.2	5.95	-6.41	-12.9	-16.76	6.283511605021e-07
80194	9	200	8.2	5.95	-6.41	-12.65	-16.5	5.197621537228e-07
80338	9	200	8.2	5.95	-6.41	-12.4	-16.5	4.961836140594e-07
80350	9	200	8.2	5.95	-6.41	-12.4	-16.25	6.011402232505e-07
80482	9	200	8.2	5.95	-6.41	-12.15	-16.5	4.961836137469e-07
80494	9	200	8.2	5.95	-6.41	-12.15	-16.25	6.011402232505e-07
80626	9	200	8.2	5.95	-6.41	-11.9	-16.5	4.961836137469e-07
80638	9	200	8.2	5.95	-6.41	-11.9	-16.25	6.011402238056999e-07
80770	9	200	8.2	5.95	-6.41	-11.65	-16.5	4.961836137469e-07
80782	9	200	8.2	5.95	-6.41	-11.65	-16.25	6.011402238056999e-07
80914	9	200	8.2	5.95	-6.41	-11.41	-16.5	4.961836137469e-07
80926	9	200	8.2	5.95	-6.41	-11.41	-16.25	6.011402238056999e-07
81058	9	200	8.2	5.95	-6.41	-11.16	-16.5	4.961836137469e-07
81070	9	200	8.2	5.95	-6.41	-11.16	-16.25	6.011402238056999e-07
81202	9	200	8.2	5.95	-6.41	-10.91	-16.5	4.961836137469e-07
81214	9	200	8.2	5.95	-6.41	-10.91	-16.25	6.011402238056999e-07
81250	9	200	8.2	5.95	-6.18	-13.64	-18.53	4.6126251195509994e-07
81418	9	200	8.2	5.95	-6.18	-13.39	-18.03	4.780199709572001e-07
81586	9	200	8.2	5.95	-6.18	-13.13	-17.52	5.003504292927e-07
81754	9	200	8.2	5.95	-6.18	-12.9	-17.01	6.044036020824e-07
81910	9	200	8.2	5.95	-6.18	-12.65	-16.76	5.212603416552e-07
82054	9	200	8.2	5.95	-6.18	-12.4	-16.76	5.212603416552e-07
82066	9	200	8.2	5.95	-6.18	-12.4	-16.5	6.363870936619001e-07
82198	9	200	8.2	5.95	-6.18	-12.15	-16.76	5.212603425013e-07
82210	9	200	8.2	5.95	-6.18	-12.15	-16.5	6.363870939377e-07
82342	9	200	8.2	5.95	-6.18	-11.9	-16.76	5.212603425013e-07
82354	9	200	8.2	5.95	-6.18	-11.9	-16.5	6.363870939377e-07
82486	9	200	8.2	5.95	-6.18	-11.65	-16.76	5.212603425013e-07
82498	9	200	8.2	5.95	-6.18	-11.65	-16.5	6.363870939377e-07
82630	9	200	8.2	5.95	-6.18	-11.41	-16.76	5.212603425013e-07
82642	9	200	8.2	5.95	-6.18	-11.41	-16.5	6.363870939377e-07
82774	9	200	8.2	5.95	-6.18	-11.16	-16.76	5.212603425013e-07
