	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
24	8	20	8.2	5.4	-8.72	-13.64	-18.53	1.151341660443e-07
192	8	20	8.2	5.4	-8.72	-13.39	-18.03	1.227496856434e-07
348	8	20	8.2	5.4	-8.72	-13.13	-17.77	8.958261911385e-08
360	8	20	8.2	5.4	-8.72	-13.13	-17.52	1.346228933444e-07
504	8	20	8.2	5.4	-8.72	-12.9	-17.52	8.965414851687e-08
516	8	20	8.2	5.4	-8.72	-12.9	-17.26	1.1881073774889999e-07
528	8	20	8.2	5.4	-8.72	-12.9	-17.01	1.693190049095e-07
648	8	20	8.2	5.4	-8.72	-12.65	-17.52	8.951216000788e-08
660	8	20	8.2	5.4	-8.72	-12.65	-17.26	1.09282061326e-07
672	8	20	8.2	5.4	-8.72	-12.65	-17.01	1.323982976937e-07
684	8	20	8.2	5.4	-8.72	-12.65	-16.76	1.60884108118e-07
792	8	20	8.2	5.4	-8.72	-12.4	-17.52	8.951216000788e-08
804	8	20	8.2	5.4	-8.72	-12.4	-17.26	1.09282061326e-07
816	8	20	8.2	5.4	-8.72	-12.4	-17.01	1.323982976937e-07
828	8	20	8.2	5.4	-8.72	-12.4	-16.76	1.6040428581059998e-07
936	8	20	8.2	5.4	-8.72	-12.15	-17.52	8.951216000788e-08
948	8	20	8.2	5.4	-8.72	-12.15	-17.26	1.09282061326e-07
960	8	20	8.2	5.4	-8.72	-12.15	-17.01	1.323982976937e-07
972	8	20	8.2	5.4	-8.72	-12.15	-16.76	1.6040428581059998e-07
1080	8	20	8.2	5.4	-8.72	-11.9	-17.52	8.951216000788e-08
1092	8	20	8.2	5.4	-8.72	-11.9	-17.26	1.09282061326e-07
1104	8	20	8.2	5.4	-8.72	-11.9	-17.01	1.323982976937e-07
1116	8	20	8.2	5.4	-8.72	-11.9	-16.76	1.6040428581059998e-07
1224	8	20	8.2	5.4	-8.72	-11.65	-17.52	8.951216000788e-08
1236	8	20	8.2	5.4	-8.72	-11.65	-17.26	1.09282061326e-07
1248	8	20	8.2	5.4	-8.72	-11.65	-17.01	1.323982976937e-07
1260	8	20	8.2	5.4	-8.72	-11.65	-16.76	1.6040428581059998e-07
1368	8	20	8.2	5.4	-8.72	-11.41	-17.52	8.951216000788e-08
1380	8	20	8.2	5.4	-8.72	-11.41	-17.26	1.09282061326e-07
1392	8	20	8.2	5.4	-8.72	-11.41	-17.01	1.323982976937e-07
1404	8	20	8.2	5.4	-8.72	-11.41	-16.76	1.6040428581059998e-07
1512	8	20	8.2	5.4	-8.72	-11.16	-17.52	8.951216000788e-08
1524	8	20	8.2	5.4	-8.72	-11.16	-17.26	1.09282061326e-07
1536	8	20	8.2	5.4	-8.72	-11.16	-17.01	1.323982976937e-07
1548	8	20	8.2	5.4	-8.72	-11.16	-16.76	1.6040428581059998e-07
1656	8	20	8.2	5.4	-8.72	-10.91	-17.52	8.951216000788e-08
1668	8	20	8.2	5.4	-8.72	-10.91	-17.26	1.09282061326e-07
1680	8	20	8.2	5.4	-8.72	-10.91	-17.01	1.323982976937e-07
1692	8	20	8.2	5.4	-8.72	-10.91	-16.76	1.6040428581059998e-07
1752	8	20	8.2	5.4	-8.49	-13.64	-18.53	1.234925816427e-07
1920	8	20	8.2	5.4	-8.49	-13.39	-18.03	1.311081035922e-07
2076	8	20	8.2	5.4	-8.49	-13.13	-17.77	9.417591060438e-08
2088	8	20	8.2	5.4	-8.49	-13.13	-17.52	1.427910543379e-07
2232	8	20	8.2	5.4	-8.49	-12.9	-17.52	9.248642597139e-08
2244	8	20	8.2	5.4	-8.49	-12.9	-17.26	1.23964502292e-07
2256	8	20	8.2	5.4	-8.49	-12.9	-17.01	1.784838419299e-07
2376	8	20	8.2	5.4	-8.49	-12.65	-17.52	9.228828890053001e-08
2388	8	20	8.2	5.4	-8.49	-12.65	-17.26	1.1267133149430001e-07
2400	8	20	8.2	5.4	-8.49	-12.65	-17.01	1.3650448898680001e-07
2412	8	20	8.2	5.4	-8.49	-12.65	-16.76	1.6603791553820003e-07
2520	8	20	8.2	5.4	-8.49	-12.4	-17.52	9.228828890053001e-08
2532	8	20	8.2	5.4	-8.49	-12.4	-17.26	1.1267133149430001e-07
2544	8	20	8.2	5.4	-8.49	-12.4	-17.01	1.3650448898680001e-07
2556	8	20	8.2	5.4	-8.49	-12.4	-16.76	1.65379045351e-07
2664	8	20	8.2	5.4	-8.49	-12.15	-17.52	9.228828890053001e-08
2676	8	20	8.2	5.4	-8.49	-12.15	-17.26	1.1267133149430001e-07
2688	8	20	8.2	5.4	-8.49	-12.15	-17.01	1.3650448898680001e-07
2700	8	20	8.2	5.4	-8.49	-12.15	-16.76	1.65379045351e-07
2808	8	20	8.2	5.4	-8.49	-11.9	-17.52	9.228828890053001e-08
2820	8	20	8.2	5.4	-8.49	-11.9	-17.26	1.1267133149430001e-07
2832	8	20	8.2	5.4	-8.49	-11.9	-17.01	1.3650448898680001e-07
2844	8	20	8.2	5.4	-8.49	-11.9	-16.76	1.65379045351e-07
2952	8	20	8.2	5.4	-8.49	-11.65	-17.52	9.228828890053001e-08
2964	8	20	8.2	5.4	-8.49	-11.65	-17.26	1.1267133149430001e-07
2976	8	20	8.2	5.4	-8.49	-11.65	-17.01	1.3650448898680001e-07
2988	8	20	8.2	5.4	-8.49	-11.65	-16.76	1.65379045351e-07
3096	8	20	8.2	5.4	-8.49	-11.41	-17.52	9.228828890053001e-08
3108	8	20	8.2	5.4	-8.49	-11.41	-17.26	1.1267133149430001e-07
3120	8	20	8.2	5.4	-8.49	-11.41	-17.01	1.3650448898680001e-07
3132	8	20	8.2	5.4	-8.49	-11.41	-16.76	1.65379045351e-07
3240	8	20	8.2	5.4	-8.49	-11.16	-17.52	9.228828890053001e-08
3252	8	20	8.2	5.4	-8.49	-11.16	-17.26	1.1267133149430001e-07
3264	8	20	8.2	5.4	-8.49	-11.16	-17.01	1.3650448898680001e-07
3276	8	20	8.2	5.4	-8.49	-11.16	-16.76	1.65379045351e-07
3384	8	20	8.2	5.4	-8.49	-10.91	-17.52	9.228828890053001e-08
3396	8	20	8.2	5.4	-8.49	-10.91	-17.26	1.1267133149430001e-07
3408	8	20	8.2	5.4	-8.49	-10.91	-17.01	1.3650448898680001e-07
3420	8	20	8.2	5.4	-8.49	-10.91	-16.76	1.65379045351e-07
3480	8	20	8.2	5.4	-8.26	-13.64	-18.53	1.3768720918720002e-07
3636	8	20	8.2	5.4	-8.26	-13.39	-18.28	8.932873666159e-08
3648	8	20	8.2	5.4	-8.26	-13.39	-18.03	1.453027351333e-07
3804	8	20	8.2	5.4	-8.26	-13.13	-17.77	1.0197643911919999e-07
3816	8	20	8.2	5.4	-8.26	-13.13	-17.52	1.56662583152e-07
3960	8	20	8.2	5.4	-8.26	-12.9	-17.52	9.729632330815001e-08
3972	8	20	8.2	5.4	-8.26	-12.9	-17.26	1.327168507128e-07
4104	8	20	8.2	5.4	-8.26	-12.65	-17.52	9.700282299623e-08
4116	8	20	8.2	5.4	-8.26	-12.65	-17.26	1.1842712434040001e-07
4128	8	20	8.2	5.4	-8.26	-12.65	-17.01	1.434777821718e-07
4140	8	20	8.2	5.4	-8.26	-12.65	-16.76	1.7479033673779997e-07
4248	8	20	8.2	5.4	-8.26	-12.4	-17.52	9.700282299623e-08
4260	8	20	8.2	5.4	-8.26	-12.4	-17.26	1.1842712434040001e-07
4272	8	20	8.2	5.4	-8.26	-12.4	-17.01	1.434777821718e-07
4284	8	20	8.2	5.4	-8.26	-12.4	-16.76	1.7382736963979998e-07
4392	8	20	8.2	5.4	-8.26	-12.15	-17.52	9.700282299623e-08
4404	8	20	8.2	5.4	-8.26	-12.15	-17.26	1.1842712434040001e-07
4416	8	20	8.2	5.4	-8.26	-12.15	-17.01	1.434777821718e-07
4428	8	20	8.2	5.4	-8.26	-12.15	-16.76	1.7382736963979998e-07
4536	8	20	8.2	5.4	-8.26	-11.9	-17.52	9.700282299623e-08
4548	8	20	8.2	5.4	-8.26	-11.9	-17.26	1.1842712434040001e-07
4560	8	20	8.2	5.4	-8.26	-11.9	-17.01	1.434777821718e-07
4572	8	20	8.2	5.4	-8.26	-11.9	-16.76	1.7382736963979998e-07
4680	8	20	8.2	5.4	-8.26	-11.65	-17.52	9.700282299623e-08
4692	8	20	8.2	5.4	-8.26	-11.65	-17.26	1.1842712434040001e-07
4704	8	20	8.2	5.4	-8.26	-11.65	-17.01	1.434777821718e-07
4716	8	20	8.2	5.4	-8.26	-11.65	-16.76	1.7382736963979998e-07
4824	8	20	8.2	5.4	-8.26	-11.41	-17.52	9.700282299623e-08
4836	8	20	8.2	5.4	-8.26	-11.41	-17.26	1.1842712434040001e-07
4848	8	20	8.2	5.4	-8.26	-11.41	-17.01	1.434777821718e-07
4860	8	20	8.2	5.4	-8.26	-11.41	-16.76	1.7382736963979998e-07
4968	8	20	8.2	5.4	-8.26	-11.16	-17.52	9.700282299623e-08
4980	8	20	8.2	5.4	-8.26	-11.16	-17.26	1.1842712434040001e-07
4992	8	20	8.2	5.4	-8.26	-11.16	-17.01	1.434777821718e-07
5004	8	20	8.2	5.4	-8.26	-11.16	-16.76	1.7382736963979998e-07
5112	8	20	8.2	5.4	-8.26	-10.91	-17.52	9.700282299623e-08
5124	8	20	8.2	5.4	-8.26	-10.91	-17.26	1.1842712434040001e-07
5136	8	20	8.2	5.4	-8.26	-10.91	-17.01	1.434777821718e-07
5148	8	20	8.2	5.4	-8.26	-10.91	-16.76	1.7382736963979998e-07
5196	8	20	8.2	5.4	-8.03	-13.64	-18.77	9.725613278544e-08
5208	8	20	8.2	5.4	-8.03	-13.64	-18.53	1.6179314907779999e-07
5364	8	20	8.2	5.4	-8.03	-13.39	-18.28	1.0288449057060001e-07
5376	8	20	8.2	5.4	-8.03	-13.39	-18.03	1.694086865658e-07
5532	8	20	8.2	5.4	-8.03	-13.13	-17.77	1.1522363830010001e-07
5544	8	20	8.2	5.4	-8.03	-13.13	-17.52	1.802198224294e-07
5688	8	20	8.2	5.4	-8.03	-12.9	-17.52	1.0546470111410001e-07
5700	8	20	8.2	5.4	-8.03	-12.9	-17.26	1.475804723029e-07
5832	8	20	8.2	5.4	-8.03	-12.65	-17.52	1.0500923382150001e-07
5844	8	20	8.2	5.4	-8.03	-12.65	-17.26	1.282018234809e-07
5856	8	20	8.2	5.4	-8.03	-12.65	-17.01	1.5532007505020001e-07
5868	8	20	8.2	5.4	-8.03	-12.65	-16.76	1.8965408173510002e-07
5976	8	20	8.2	5.4	-8.03	-12.4	-17.52	1.0500923382150001e-07
5988	8	20	8.2	5.4	-8.03	-12.4	-17.26	1.282018234809e-07
6000	8	20	8.2	5.4	-8.03	-12.4	-17.01	1.5532007505020001e-07
6012	8	20	8.2	5.4	-8.03	-12.4	-16.76	1.881745975815e-07
6120	8	20	8.2	5.4	-8.03	-12.15	-17.52	1.0500923382150001e-07
6132	8	20	8.2	5.4	-8.03	-12.15	-17.26	1.282018234809e-07
6144	8	20	8.2	5.4	-8.03	-12.15	-17.01	1.5532007505020001e-07
6156	8	20	8.2	5.4	-8.03	-12.15	-16.76	1.881745975815e-07
6264	8	20	8.2	5.4	-8.03	-11.9	-17.52	1.0500923382150001e-07
6276	8	20	8.2	5.4	-8.03	-11.9	-17.26	1.282018234809e-07
6288	8	20	8.2	5.4	-8.03	-11.9	-17.01	1.5532007505020001e-07
6300	8	20	8.2	5.4	-8.03	-11.9	-16.76	1.881745975815e-07
6408	8	20	8.2	5.4	-8.03	-11.65	-17.52	1.0500923382150001e-07
6420	8	20	8.2	5.4	-8.03	-11.65	-17.26	1.282018234809e-07
6432	8	20	8.2	5.4	-8.03	-11.65	-17.01	1.5532007505020001e-07
6444	8	20	8.2	5.4	-8.03	-11.65	-16.76	1.881745975815e-07
6552	8	20	8.2	5.4	-8.03	-11.41	-17.52	1.0500923382150001e-07
6564	8	20	8.2	5.4	-8.03	-11.41	-17.26	1.282018234809e-07
6576	8	20	8.2	5.4	-8.03	-11.41	-17.01	1.5532007505020001e-07
6588	8	20	8.2	5.4	-8.03	-11.41	-16.76	1.881745975815e-07
6696	8	20	8.2	5.4	-8.03	-11.16	-17.52	1.0500923382150001e-07
6708	8	20	8.2	5.4	-8.03	-11.16	-17.26	1.282018234809e-07
6720	8	20	8.2	5.4	-8.03	-11.16	-17.01	1.5532007505020001e-07
6732	8	20	8.2	5.4	-8.03	-11.16	-16.76	1.881745975815e-07
6840	8	20	8.2	5.4	-8.03	-10.91	-17.52	1.0500923382150001e-07
6852	8	20	8.2	5.4	-8.03	-10.91	-17.26	1.282018234809e-07
6864	8	20	8.2	5.4	-8.03	-10.91	-17.01	1.5532007505020001e-07
6876	8	20	8.2	5.4	-8.03	-10.91	-16.76	1.881745975815e-07
6924	8	20	8.2	5.4	-7.8	-13.64	-18.77	1.20813325861e-07
7092	8	20	8.2	5.4	-7.8	-13.39	-18.28	1.259054672395e-07
7248	8	20	8.2	5.4	-7.8	-13.13	-18.03	8.999284679786e-08
7260	8	20	8.2	5.4	-7.8	-13.13	-17.77	1.37720613527e-07
7404	8	20	8.2	5.4	-7.8	-12.9	-17.77	9.789788988291e-08
7416	8	20	8.2	5.4	-7.8	-12.9	-17.52	1.193365984299e-07
7428	8	20	8.2	5.4	-7.8	-12.9	-17.26	1.7282252748389999e-07
7548	8	20	8.2	5.4	-7.8	-12.65	-17.77	9.789788988291e-08
7560	8	20	8.2	5.4	-7.8	-12.65	-17.52	1.186059670622e-07
7572	8	20	8.2	5.4	-7.8	-12.65	-17.26	1.448015302809e-07
7584	8	20	8.2	5.4	-7.8	-12.65	-17.01	1.754310064665e-07
7692	8	20	8.2	5.4	-7.8	-12.4	-17.77	9.789788988291e-08
7704	8	20	8.2	5.4	-7.8	-12.4	-17.52	1.186059670622e-07
7716	8	20	8.2	5.4	-7.8	-12.4	-17.26	1.448015302809e-07
7728	8	20	8.2	5.4	-7.8	-12.4	-17.01	1.754310064665e-07
7836	8	20	8.2	5.4	-7.8	-12.15	-17.77	9.789788988291e-08
7848	8	20	8.2	5.4	-7.8	-12.15	-17.52	1.186059670622e-07
7860	8	20	8.2	5.4	-7.8	-12.15	-17.26	1.448015302809e-07
7872	8	20	8.2	5.4	-7.8	-12.15	-17.01	1.754310064665e-07
7980	8	20	8.2	5.4	-7.8	-11.9	-17.77	9.789788988291e-08
7992	8	20	8.2	5.4	-7.8	-11.9	-17.52	1.186059670622e-07
8004	8	20	8.2	5.4	-7.8	-11.9	-17.26	1.448015302809e-07
8016	8	20	8.2	5.4	-7.8	-11.9	-17.01	1.754310064665e-07
8124	8	20	8.2	5.4	-7.8	-11.65	-17.77	9.789788988291e-08
8136	8	20	8.2	5.4	-7.8	-11.65	-17.52	1.186059670622e-07
8148	8	20	8.2	5.4	-7.8	-11.65	-17.26	1.448015302809e-07
8160	8	20	8.2	5.4	-7.8	-11.65	-17.01	1.754310064665e-07
8268	8	20	8.2	5.4	-7.8	-11.41	-17.77	9.789788988291e-08
8280	8	20	8.2	5.4	-7.8	-11.41	-17.52	1.186059670622e-07
8292	8	20	8.2	5.4	-7.8	-11.41	-17.26	1.448015302809e-07
8304	8	20	8.2	5.4	-7.8	-11.41	-17.01	1.754310064665e-07
8412	8	20	8.2	5.4	-7.8	-11.16	-17.77	9.789788988291e-08
8424	8	20	8.2	5.4	-7.8	-11.16	-17.52	1.186059670622e-07
8436	8	20	8.2	5.4	-7.8	-11.16	-17.26	1.448015302809e-07
8448	8	20	8.2	5.4	-7.8	-11.16	-17.01	1.754310064665e-07
8556	8	20	8.2	5.4	-7.8	-10.91	-17.77	9.789788988291e-08
8568	8	20	8.2	5.4	-7.8	-10.91	-17.52	1.186059670622e-07
8580	8	20	8.2	5.4	-7.8	-10.91	-17.26	1.448015302809e-07
8592	8	20	8.2	5.4	-7.8	-10.91	-17.01	1.754310064665e-07
8640	8	20	8.2	5.4	-7.597	-13.64	-19.04	8.774771293102e-08
8652	8	20	8.2	5.4	-7.597	-13.64	-18.77	1.5495421653139998e-07
8808	8	20	8.2	5.4	-7.597	-13.39	-18.53	9.718986088063999e-08
8820	8	20	8.2	5.4	-7.597	-13.39	-18.28	1.592692308351e-07
8976	8	20	8.2	5.4	-7.597	-13.13	-18.03	1.079102732295e-07
8988	8	20	8.2	5.4	-7.597	-13.13	-17.77	1.703249539978e-07
9120	8	20	8.2	5.4	-7.597	-12.9	-18.03	9.351001201334e-08
9132	8	20	8.2	5.4	-7.597	-12.9	-17.77	1.1416276823569999e-07
9144	8	20	8.2	5.4	-7.597	-12.9	-17.52	1.394408125973e-07
9264	8	20	8.2	5.4	-7.597	-12.65	-18.03	9.351001201334e-08
9276	8	20	8.2	5.4	-7.597	-12.65	-17.77	1.1416276823569999e-07
9288	8	20	8.2	5.4	-7.597	-12.65	-17.52	1.383112342847e-07
9300	8	20	8.2	5.4	-7.597	-12.65	-17.26	1.6885883734549998e-07
9408	8	20	8.2	5.4	-7.597	-12.4	-18.03	9.351001201334e-08
9420	8	20	8.2	5.4	-7.597	-12.4	-17.77	1.1416276823569999e-07
9432	8	20	8.2	5.4	-7.597	-12.4	-17.52	1.383112342847e-07
9444	8	20	8.2	5.4	-7.597	-12.4	-17.26	1.6885883734549998e-07
9552	8	20	8.2	5.4	-7.597	-12.15	-18.03	9.351001201334e-08
9564	8	20	8.2	5.4	-7.597	-12.15	-17.77	1.1416276823569999e-07
9576	8	20	8.2	5.4	-7.597	-12.15	-17.52	1.383112342847e-07
9588	8	20	8.2	5.4	-7.597	-12.15	-17.26	1.6885883734549998e-07
9696	8	20	8.2	5.4	-7.597	-11.9	-18.03	9.351001201334e-08
9708	8	20	8.2	5.4	-7.597	-11.9	-17.77	1.1416276823569999e-07
9720	8	20	8.2	5.4	-7.597	-11.9	-17.52	1.383112342847e-07
9732	8	20	8.2	5.4	-7.597	-11.9	-17.26	1.6885883734549998e-07
9840	8	20	8.2	5.4	-7.597	-11.65	-18.03	9.351001201334e-08
9852	8	20	8.2	5.4	-7.597	-11.65	-17.77	1.1416276823569999e-07
9864	8	20	8.2	5.4	-7.597	-11.65	-17.52	1.383112342847e-07
9876	8	20	8.2	5.4	-7.597	-11.65	-17.26	1.6885883734549998e-07
9984	8	20	8.2	5.4	-7.597	-11.41	-18.03	9.351001201334e-08
9996	8	20	8.2	5.4	-7.597	-11.41	-17.77	1.1416276823569999e-07
10008	8	20	8.2	5.4	-7.597	-11.41	-17.52	1.383112342847e-07
10020	8	20	8.2	5.4	-7.597	-11.41	-17.26	1.6885883734549998e-07
10128	8	20	8.2	5.4	-7.597	-11.16	-18.03	9.351001201334e-08
10140	8	20	8.2	5.4	-7.597	-11.16	-17.77	1.1416276823569999e-07
10152	8	20	8.2	5.4	-7.597	-11.16	-17.52	1.383112342847e-07
10164	8	20	8.2	5.4	-7.597	-11.16	-17.26	1.6885883734549998e-07
10272	8	20	8.2	5.4	-7.597	-10.91	-18.03	9.351001201334e-08
10284	8	20	8.2	5.4	-7.597	-10.91	-17.77	1.1416276823569999e-07
10296	8	20	8.2	5.4	-7.597	-10.91	-17.52	1.383112342847e-07
10308	8	20	8.2	5.4	-7.597	-10.91	-17.26	1.6885883734549998e-07
10368	8	20	8.2	5.4	-7.33	-13.64	-19.04	1.294501604208e-07
10524	8	20	8.2	5.4	-7.33	-13.39	-18.77	8.789277302345e-08
10536	8	20	8.2	5.4	-7.33	-13.39	-18.53	1.3986371885110003e-07
10692	8	20	8.2	5.4	-7.33	-13.13	-18.28	1.02194901936e-07
10704	8	20	8.2	5.4	-7.33	-13.13	-18.03	1.486635584463e-07
10836	8	20	8.2	5.4	-7.33	-12.9	-18.28	1.02194901936e-07
10848	8	20	8.2	5.4	-7.33	-12.9	-18.03	1.238117608949e-07
10860	8	20	8.2	5.4	-7.33	-12.9	-17.77	1.5115681677220002e-07
10872	8	20	8.2	5.4	-7.33	-12.9	-17.52	1.851679577842e-07
10980	8	20	8.2	5.4	-7.33	-12.65	-18.28	1.02194901936e-07
10992	8	20	8.2	5.4	-7.33	-12.65	-18.03	1.238117608949e-07
11004	8	20	8.2	5.4	-7.33	-12.65	-17.77	1.5115681677220002e-07
11016	8	20	8.2	5.4	-7.33	-12.65	-17.52	1.83130253315e-07
11124	8	20	8.2	5.4	-7.33	-12.4	-18.28	1.02194901936e-07
11136	8	20	8.2	5.4	-7.33	-12.4	-18.03	1.238117608949e-07
11148	8	20	8.2	5.4	-7.33	-12.4	-17.77	1.5115681677220002e-07
11160	8	20	8.2	5.4	-7.33	-12.4	-17.52	1.83130253315e-07
11268	8	20	8.2	5.4	-7.33	-12.15	-18.28	1.02194901936e-07
11280	8	20	8.2	5.4	-7.33	-12.15	-18.03	1.238117608949e-07
11292	8	20	8.2	5.4	-7.33	-12.15	-17.77	1.5115681677220002e-07
11304	8	20	8.2	5.4	-7.33	-12.15	-17.52	1.83130253315e-07
11412	8	20	8.2	5.4	-7.33	-11.9	-18.28	1.02194901936e-07
11424	8	20	8.2	5.4	-7.33	-11.9	-18.03	1.238117608949e-07
11436	8	20	8.2	5.4	-7.33	-11.9	-17.77	1.5115681677220002e-07
11448	8	20	8.2	5.4	-7.33	-11.9	-17.52	1.83130253315e-07
11556	8	20	8.2	5.4	-7.33	-11.65	-18.28	1.02194901936e-07
11568	8	20	8.2	5.4	-7.33	-11.65	-18.03	1.238117608949e-07
11580	8	20	8.2	5.4	-7.33	-11.65	-17.77	1.5115681677220002e-07
11592	8	20	8.2	5.4	-7.33	-11.65	-17.52	1.83130253315e-07
11700	8	20	8.2	5.4	-7.33	-11.41	-18.28	1.02194901936e-07
11712	8	20	8.2	5.4	-7.33	-11.41	-18.03	1.238117608949e-07
11724	8	20	8.2	5.4	-7.33	-11.41	-17.77	1.5115681677220002e-07
11736	8	20	8.2	5.4	-7.33	-11.41	-17.52	1.83130253315e-07
11844	8	20	8.2	5.4	-7.33	-11.16	-18.28	1.02194901936e-07
11856	8	20	8.2	5.4	-7.33	-11.16	-18.03	1.238117608949e-07
11868	8	20	8.2	5.4	-7.33	-11.16	-17.77	1.5115681677220002e-07
11880	8	20	8.2	5.4	-7.33	-11.16	-17.52	1.83130253315e-07
11988	8	20	8.2	5.4	-7.33	-10.91	-18.28	1.02194901936e-07
12000	8	20	8.2	5.4	-7.33	-10.91	-18.03	1.238117608949e-07
12012	8	20	8.2	5.4	-7.33	-10.91	-17.77	1.5115681677220002e-07
12024	8	20	8.2	5.4	-7.33	-10.91	-17.52	1.83130253315e-07
12252	8	20	8.2	5.4	-7.1	-13.39	-18.77	1.2522846667790001e-07
12396	8	20	8.2	5.4	-7.1	-13.13	-18.77	9.626854303890001e-08
12408	8	20	8.2	5.4	-7.1	-13.13	-18.53	1.157399938678e-07
12420	8	20	8.2	5.4	-7.1	-13.13	-18.28	1.4022182056929998e-07
12540	8	20	8.2	5.4	-7.1	-12.9	-18.77	9.626854303890001e-08
12552	8	20	8.2	5.4	-7.1	-12.9	-18.53	1.157399938678e-07
12564	8	20	8.2	5.4	-7.1	-12.9	-18.28	1.4022182056929998e-07
12576	8	20	8.2	5.4	-7.1	-12.9	-18.03	1.6988204976900002e-07
12684	8	20	8.2	5.4	-7.1	-12.65	-18.77	9.626854303890001e-08
12696	8	20	8.2	5.4	-7.1	-12.65	-18.53	1.157399938678e-07
12708	8	20	8.2	5.4	-7.1	-12.65	-18.28	1.4022182056929998e-07
12720	8	20	8.2	5.4	-7.1	-12.65	-18.03	1.6988204976900002e-07
12828	8	20	8.2	5.4	-7.1	-12.4	-18.77	9.626854303890001e-08
12840	8	20	8.2	5.4	-7.1	-12.4	-18.53	1.157399938678e-07
12852	8	20	8.2	5.4	-7.1	-12.4	-18.28	1.4022182056929998e-07
12864	8	20	8.2	5.4	-7.1	-12.4	-18.03	1.6988204976900002e-07
