	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
103	9	100	8.2	5.4	-8.72	-13.64	-17.01	2.3257288688779997e-07
271	9	100	8.2	5.4	-8.72	-13.39	-16.5	2.426489446766e-07
1831	9	100	8.2	5.4	-8.49	-13.64	-17.01	2.609074059637e-07
1999	9	100	8.2	5.4	-8.49	-13.39	-16.5	2.716435575715e-07
3547	9	100	8.2	5.4	-8.26	-13.64	-17.26	1.76459236674e-07
3559	9	100	8.2	5.4	-8.26	-13.64	-17.01	3.090263343249e-07
3715	9	100	8.2	5.4	-8.26	-13.39	-16.76	1.812726293519e-07
3727	9	100	8.2	5.4	-8.26	-13.39	-16.5	3.208834759055e-07
3883	9	100	8.2	5.4	-8.26	-13.13	-16.25	1.864583367238e-07
5275	9	100	8.2	5.4	-8.03	-13.64	-17.26	2.224125916197e-07
5443	9	100	8.2	5.4	-8.03	-13.39	-16.76	2.272262613568e-07
5611	9	100	8.2	5.4	-8.03	-13.13	-16.25	2.313664687822e-07
7003	9	100	8.2	5.4	-7.8	-13.64	-17.26	3.004526141885e-07
7159	9	100	8.2	5.4	-7.8	-13.39	-17.01	1.764976503248e-07
7171	9	100	8.2	5.4	-7.8	-13.39	-16.76	3.0526675465949997e-07
7327	9	100	8.2	5.4	-7.8	-13.13	-16.5	1.8187418784689998e-07
7339	9	100	8.2	5.4	-7.8	-13.13	-16.25	3.076314471116e-07
8719	9	100	8.2	5.4	-7.597	-13.64	-17.52	2.300485280591e-07
8887	9	100	8.2	5.4	-7.597	-13.39	-17.01	2.401003745177e-07
9055	9	100	8.2	5.4	-7.597	-13.13	-16.5	2.440304488308e-07
9211	9	100	8.2	5.4	-7.597	-12.9	-16.25	1.730376897684e-07
10435	9	100	8.2	5.4	-7.33	-13.64	-17.77	2.115854705176e-07
10447	9	100	8.2	5.4	-7.33	-13.64	-17.52	3.714188823414e-07
10603	9	100	8.2	5.4	-7.33	-13.39	-17.26	2.212483585672e-07
10771	9	100	8.2	5.4	-7.33	-13.13	-16.76	2.2108900478129998e-07
10939	9	100	8.2	5.4	-7.33	-12.9	-16.25	2.60215614464e-07
12151	9	100	8.2	5.4	-7.1	-13.64	-18.03	1.8552642103929998e-07
12163	9	100	8.2	5.4	-7.1	-13.64	-17.77	3.324572634403e-07
12319	9	100	8.2	5.4	-7.1	-13.39	-17.52	1.9465888324289998e-07
12331	9	100	8.2	5.4	-7.1	-13.39	-17.26	3.449379100999e-07
12487	9	100	8.2	5.4	-7.1	-13.13	-17.01	2.000418599045e-07
12499	9	100	8.2	5.4	-7.1	-13.13	-16.76	3.392162626218e-07
12655	9	100	8.2	5.4	-7.1	-12.9	-16.5	2.3713616085469998e-07
12811	9	100	8.2	5.4	-7.1	-12.65	-16.25	1.853681020066e-07
12955	9	100	8.2	5.4	-7.1	-12.4	-16.25	1.7583932151829998e-07
13099	9	100	8.2	5.4	-7.1	-12.15	-16.25	1.7583932151829998e-07
13243	9	100	8.2	5.4	-7.1	-11.9	-16.25	1.7583932151829998e-07
13387	9	100	8.2	5.4	-7.1	-11.65	-16.25	1.7583932151829998e-07
13531	9	100	8.2	5.4	-7.1	-11.41	-16.25	1.7583932151829998e-07
13675	9	100	8.2	5.4	-7.1	-11.16	-16.25	1.7583932151829998e-07
13819	9	100	8.2	5.4	-7.1	-10.91	-16.25	1.7583932151829998e-07
13879	9	100	8.2	5.4	-6.87	-13.64	-18.03	2.983328406787e-07
14035	9	100	8.2	5.4	-6.87	-13.39	-17.77	1.7947344833589999e-07
14047	9	100	8.2	5.4	-6.87	-13.39	-17.52	3.1009679250159995e-07
14203	9	100	8.2	5.4	-6.87	-13.13	-17.26	1.8567315598139998e-07
14215	9	100	8.2	5.4	-6.87	-13.13	-17.01	3.128597937155e-07
14371	9	100	8.2	5.4	-6.87	-12.9	-16.76	2.178620840238e-07
14383	9	100	8.2	5.4	-6.87	-12.9	-16.5	3.6372959647249997e-07
