	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
9	8	200	8.2	5.4	-8.72	-13.64	-19.04	5.194600991732e-08
21	8	200	8.2	5.4	-8.72	-13.64	-18.77	8.807174037354999e-08
33	8	200	8.2	5.4	-8.72	-13.64	-18.53	1.456480583707e-07
45	8	200	8.2	5.4	-8.72	-13.64	-18.28	2.511985394875e-07
153	8	200	8.2	5.4	-8.72	-13.39	-19.04	3.117409822586e-08
165	8	200	8.2	5.4	-8.72	-13.39	-18.77	4.255798797949e-08
177	8	200	8.2	5.4	-8.72	-13.39	-18.53	6.074521372109999e-08
189	8	200	8.2	5.4	-8.72	-13.39	-18.28	9.411041162059e-08
201	8	200	8.2	5.4	-8.72	-13.39	-18.03	1.534583919429e-07
213	8	200	8.2	5.4	-8.72	-13.39	-17.77	2.646239064695e-07
297	8	200	8.2	5.4	-8.72	-13.13	-19.04	3.742846241263e-08
309	8	200	8.2	5.4	-8.72	-13.13	-18.77	4.042652963837e-08
321	8	200	8.2	5.4	-8.72	-13.13	-18.53	4.570229887747e-08
333	8	200	8.2	5.4	-8.72	-13.13	-18.28	5.564979548887e-08
345	8	200	8.2	5.4	-8.72	-13.13	-18.03	7.349999520122e-08
357	8	200	8.2	5.4	-8.72	-13.13	-17.77	1.07028430262e-07
369	8	200	8.2	5.4	-8.72	-13.13	-17.52	1.650091097489e-07
381	8	200	8.2	5.4	-8.72	-13.13	-17.26	2.736346058495e-07
441	8	200	8.2	5.4	-8.72	-12.9	-19.04	4.151427417136e-08
453	8	200	8.2	5.4	-8.72	-12.9	-18.77	5.107371291843e-08
465	8	200	8.2	5.4	-8.72	-12.9	-18.53	6.140410580886e-08
477	8	200	8.2	5.4	-8.72	-12.9	-18.28	6.450448494669e-08
489	8	200	8.2	5.4	-8.72	-12.9	-18.03	7.010151543443e-08
501	8	200	8.2	5.4	-8.72	-12.9	-17.77	8.138408021068e-08
513	8	200	8.2	5.4	-8.72	-12.9	-17.52	1.0130469679600001e-07
525	8	200	8.2	5.4	-8.72	-12.9	-17.26	1.3886197784560002e-07
537	8	200	8.2	5.4	-8.72	-12.9	-17.01	2.038843196242e-07
549	8	200	8.2	5.4	-8.72	-12.9	-16.76	3.1958689105829997e-07
585	8	200	8.2	5.4	-8.72	-12.65	-19.04	4.151427417136e-08
597	8	200	8.2	5.4	-8.72	-12.65	-18.77	5.107371291843e-08
609	8	200	8.2	5.4	-8.72	-12.65	-18.53	6.140410580886e-08
621	8	200	8.2	5.4	-8.72	-12.65	-18.28	7.439276831146e-08
633	8	200	8.2	5.4	-8.72	-12.65	-18.03	9.01288902045e-08
645	8	200	8.2	5.4	-8.72	-12.65	-17.77	1.100349504672e-07
657	8	200	8.2	5.4	-8.72	-12.65	-17.52	1.1498064046099999e-07
669	8	200	8.2	5.4	-8.72	-12.65	-17.26	1.25786692566e-07
681	8	200	8.2	5.4	-8.72	-12.65	-17.01	1.45776471652e-07
693	8	200	8.2	5.4	-8.72	-12.65	-16.76	1.820419449829e-07
705	8	200	8.2	5.4	-8.72	-12.65	-16.5	2.5039495465760004e-07
717	8	200	8.2	5.4	-8.72	-12.65	-16.25	3.6872416125290005e-07
729	8	200	8.2	5.4	-8.72	-12.4	-19.04	4.151427417136e-08
741	8	200	8.2	5.4	-8.72	-12.4	-18.77	5.107371291843e-08
753	8	200	8.2	5.4	-8.72	-12.4	-18.53	6.140410580886e-08
765	8	200	8.2	5.4	-8.72	-12.4	-18.28	7.439276831146e-08
777	8	200	8.2	5.4	-8.72	-12.4	-18.03	9.01288902045e-08
789	8	200	8.2	5.4	-8.72	-12.4	-17.77	1.100349504672e-07
801	8	200	8.2	5.4	-8.72	-12.4	-17.52	1.333103723338e-07
813	8	200	8.2	5.4	-8.72	-12.4	-17.26	1.627535807024e-07
825	8	200	8.2	5.4	-8.72	-12.4	-17.01	1.967885493799e-07
837	8	200	8.2	5.4	-8.72	-12.4	-16.76	2.049703629212e-07
849	8	200	8.2	5.4	-8.72	-12.4	-16.5	2.2472475539149999e-07
861	8	200	8.2	5.4	-8.72	-12.4	-16.25	2.611488088317e-07
873	8	200	8.2	5.4	-8.72	-12.15	-19.04	4.151427417136e-08
885	8	200	8.2	5.4	-8.72	-12.15	-18.77	5.107371291843e-08
897	8	200	8.2	5.4	-8.72	-12.15	-18.53	6.140410580886e-08
909	8	200	8.2	5.4	-8.72	-12.15	-18.28	7.439276831146e-08
921	8	200	8.2	5.4	-8.72	-12.15	-18.03	9.01288902045e-08
933	8	200	8.2	5.4	-8.72	-12.15	-17.77	1.100349504672e-07
945	8	200	8.2	5.4	-8.72	-12.15	-17.52	1.333103723338e-07
957	8	200	8.2	5.4	-8.72	-12.15	-17.26	1.627535807024e-07
969	8	200	8.2	5.4	-8.72	-12.15	-17.01	1.9718043488770001e-07
981	8	200	8.2	5.4	-8.72	-12.15	-16.76	2.388895070708e-07
993	8	200	8.2	5.4	-8.72	-12.15	-16.5	2.9165111487440006e-07
1005	8	200	8.2	5.4	-8.72	-12.15	-16.25	3.501412224019e-07
