	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
118	9	200	8.2	5.4	-8.72	-13.64	-16.76	4.199979154624e-07
130	9	200	8.2	5.4	-8.72	-13.64	-16.5	7.60521539014e-07
286	9	200	8.2	5.4	-8.72	-13.39	-16.25	4.3444797120150006e-07
1846	9	200	8.2	5.4	-8.49	-13.64	-16.76	4.715147013984e-07
2014	9	200	8.2	5.4	-8.49	-13.39	-16.25	4.871647970821e-07
3562	9	200	8.2	5.4	-8.26	-13.64	-17.01	3.169285076314e-07
3574	9	200	8.2	5.4	-8.26	-13.64	-16.76	5.590027845145001e-07
3730	9	200	8.2	5.4	-8.26	-13.39	-16.5	3.289732359303e-07
3742	9	200	8.2	5.4	-8.26	-13.39	-16.25	5.766908705851e-07
5290	9	200	8.2	5.4	-8.03	-13.64	-17.01	4.0047903198e-07
5302	9	200	8.2	5.4	-8.03	-13.64	-16.76	7.075789481437e-07
5458	9	200	8.2	5.4	-8.03	-13.39	-16.5	4.144701025321e-07
5470	9	200	8.2	5.4	-8.03	-13.39	-16.25	7.287280133930999e-07
7006	9	200	8.2	5.4	-7.8	-13.64	-17.26	3.0767641518040005e-07
7018	9	200	8.2	5.4	-7.8	-13.64	-17.01	5.423682598885e-07
7174	9	200	8.2	5.4	-7.8	-13.39	-16.76	3.124948244567e-07
7186	9	200	8.2	5.4	-7.8	-13.39	-16.5	5.59664690093e-07
7342	9	200	8.2	5.4	-7.8	-13.13	-16.25	3.147074087731e-07
8734	9	200	8.2	5.4	-7.597	-13.64	-17.26	4.233146480618e-07
8746	9	200	8.2	5.4	-7.597	-13.64	-17.01	7.480051094153001e-07
8902	9	200	8.2	5.4	-7.597	-13.39	-16.76	4.281335533075e-07
8914	9	200	8.2	5.4	-7.597	-13.39	-16.5	7.700919399917e-07
9070	9	200	8.2	5.4	-7.597	-13.13	-16.25	4.27714833561e-07
10450	9	200	8.2	5.4	-7.33	-13.64	-17.52	3.79954897255e-07
10462	9	200	8.2	5.4	-7.33	-13.64	-17.26	6.863346117725001e-07
10618	9	200	8.2	5.4	-7.33	-13.39	-17.01	3.9350563295170003e-07
10630	9	200	8.2	5.4	-7.33	-13.39	-16.76	6.911546489088e-07
10786	9	200	8.2	5.4	-7.33	-13.13	-16.5	3.939653577584e-07
10798	9	200	8.2	5.4	-7.33	-13.13	-16.25	6.847510016639e-07
12166	9	200	8.2	5.4	-7.1	-13.64	-17.77	3.3997090567119997e-07
12178	9	200	8.2	5.4	-7.1	-13.64	-17.52	5.997168327229999e-07
12334	9	200	8.2	5.4	-7.1	-13.39	-17.26	3.5263515036830003e-07
12346	9	200	8.2	5.4	-7.1	-13.39	-17.01	6.183881627500999e-07
12502	9	200	8.2	5.4	-7.1	-13.13	-16.76	3.465986788063e-07
