	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
0	8	20	8.2	5.4	-8.72	-13.64	-19.04	4.234304853808e-08
12	8	20	8.2	5.4	-8.72	-13.64	-18.77	7.040672493150001e-08
24	8	20	8.2	5.4	-8.72	-13.64	-18.53	1.151341660443e-07
36	8	20	8.2	5.4	-8.72	-13.64	-18.28	1.971297285951e-07
144	8	20	8.2	5.4	-8.72	-13.39	-19.04	2.787500135635e-08
156	8	20	8.2	5.4	-8.72	-13.39	-18.77	3.6600222272610005e-08
168	8	20	8.2	5.4	-8.72	-13.39	-18.53	5.072754690402e-08
180	8	20	8.2	5.4	-8.72	-13.39	-18.28	7.664623886741e-08
192	8	20	8.2	5.4	-8.72	-13.39	-18.03	1.227496856434e-07
204	8	20	8.2	5.4	-8.72	-13.39	-17.77	2.09107042789e-07
288	8	20	8.2	5.4	-8.72	-13.13	-19.04	2.787500135635e-08
300	8	20	8.2	5.4	-8.72	-13.13	-18.77	3.429374754903e-08
312	8	20	8.2	5.4	-8.72	-13.13	-18.53	4.123015809182e-08
324	8	20	8.2	5.4	-8.72	-13.13	-18.28	4.995148468572e-08
336	8	20	8.2	5.4	-8.72	-13.13	-18.03	6.353903451808e-08
348	8	20	8.2	5.4	-8.72	-13.13	-17.77	8.958261911385e-08
360	8	20	8.2	5.4	-8.72	-13.13	-17.52	1.346228933444e-07
372	8	20	8.2	5.4	-8.72	-13.13	-17.26	2.1900650105720002e-07
432	8	20	8.2	5.4	-8.72	-12.9	-19.04	2.787500135635e-08
444	8	20	8.2	5.4	-8.72	-12.9	-18.77	3.429374754903e-08
456	8	20	8.2	5.4	-8.72	-12.9	-18.53	4.123015809182e-08
468	8	20	8.2	5.4	-8.72	-12.9	-18.28	4.995148468572e-08
480	8	20	8.2	5.4	-8.72	-12.9	-18.03	6.051761679536e-08
492	8	20	8.2	5.4	-8.72	-12.9	-17.77	7.388369168452e-08
504	8	20	8.2	5.4	-8.72	-12.9	-17.52	8.965414851687e-08
516	8	20	8.2	5.4	-8.72	-12.9	-17.26	1.1881073774889999e-07
528	8	20	8.2	5.4	-8.72	-12.9	-17.01	1.693190049095e-07
540	8	20	8.2	5.4	-8.72	-12.9	-16.76	2.591990842805e-07
576	8	20	8.2	5.4	-8.72	-12.65	-19.04	2.787500135635e-08
588	8	20	8.2	5.4	-8.72	-12.65	-18.77	3.429374754903e-08
600	8	20	8.2	5.4	-8.72	-12.65	-18.53	4.123015809182e-08
612	8	20	8.2	5.4	-8.72	-12.65	-18.28	4.995148468572e-08
624	8	20	8.2	5.4	-8.72	-12.65	-18.03	6.051761679536e-08
636	8	20	8.2	5.4	-8.72	-12.65	-17.77	7.388369168452e-08
648	8	20	8.2	5.4	-8.72	-12.65	-17.52	8.951216000788e-08
660	8	20	8.2	5.4	-8.72	-12.65	-17.26	1.09282061326e-07
672	8	20	8.2	5.4	-8.72	-12.65	-17.01	1.323982976937e-07
684	8	20	8.2	5.4	-8.72	-12.65	-16.76	1.60884108118e-07
696	8	20	8.2	5.4	-8.72	-12.65	-16.5	2.139658031364e-07
720	8	20	8.2	5.4	-8.72	-12.4	-19.04	2.787500135635e-08
732	8	20	8.2	5.4	-8.72	-12.4	-18.77	3.429374754903e-08
744	8	20	8.2	5.4	-8.72	-12.4	-18.53	4.123015809182e-08
756	8	20	8.2	5.4	-8.72	-12.4	-18.28	4.995148468572e-08
768	8	20	8.2	5.4	-8.72	-12.4	-18.03	6.051761679536e-08
780	8	20	8.2	5.4	-8.72	-12.4	-17.77	7.388369168452e-08
792	8	20	8.2	5.4	-8.72	-12.4	-17.52	8.951216000788e-08
804	8	20	8.2	5.4	-8.72	-12.4	-17.26	1.09282061326e-07
816	8	20	8.2	5.4	-8.72	-12.4	-17.01	1.323982976937e-07
828	8	20	8.2	5.4	-8.72	-12.4	-16.76	1.6040428581059998e-07
