	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
33	8	200	8.2	5.4	-8.72	-13.64	-18.53	1.456480583707e-07
201	8	200	8.2	5.4	-8.72	-13.39	-18.03	1.534583919429e-07
369	8	200	8.2	5.4	-8.72	-13.13	-17.52	1.650091097489e-07
537	8	200	8.2	5.4	-8.72	-12.9	-17.01	2.038843196242e-07
681	8	200	8.2	5.4	-8.72	-12.65	-17.01	1.45776471652e-07
693	8	200	8.2	5.4	-8.72	-12.65	-16.76	1.820419449829e-07
813	8	200	8.2	5.4	-8.72	-12.4	-17.26	1.627535807024e-07
825	8	200	8.2	5.4	-8.72	-12.4	-17.01	1.967885493799e-07
837	8	200	8.2	5.4	-8.72	-12.4	-16.76	2.049703629212e-07
957	8	200	8.2	5.4	-8.72	-12.15	-17.26	1.627535807024e-07
969	8	200	8.2	5.4	-8.72	-12.15	-17.01	1.9718043488770001e-07
1101	8	200	8.2	5.4	-8.72	-11.9	-17.26	1.627535807024e-07
1113	8	200	8.2	5.4	-8.72	-11.9	-17.01	1.9718043488770001e-07
1245	8	200	8.2	5.4	-8.72	-11.65	-17.26	1.627535807024e-07
1257	8	200	8.2	5.4	-8.72	-11.65	-17.01	1.9718043488770001e-07
1389	8	200	8.2	5.4	-8.72	-11.41	-17.26	1.627535807024e-07
1401	8	200	8.2	5.4	-8.72	-11.41	-17.01	1.9718043488770001e-07
1533	8	200	8.2	5.4	-8.72	-11.16	-17.26	1.627535807024e-07
1545	8	200	8.2	5.4	-8.72	-11.16	-17.01	1.9718043488770001e-07
1677	8	200	8.2	5.4	-8.72	-10.91	-17.26	1.627535807024e-07
1689	8	200	8.2	5.4	-8.72	-10.91	-17.01	1.9718043488770001e-07
1761	8	200	8.2	5.4	-8.49	-13.64	-18.53	1.543968453651e-07
1929	8	200	8.2	5.4	-8.49	-13.39	-18.03	1.6220717192229998e-07
2097	8	200	8.2	5.4	-8.49	-13.13	-17.52	1.735587291426e-07
2253	8	200	8.2	5.4	-8.49	-12.9	-17.26	1.442563984795e-07
2265	8	200	8.2	5.4	-8.49	-12.9	-17.01	2.134771367698e-07
2409	8	200	8.2	5.4	-8.49	-12.65	-17.01	1.4880990716229998e-07
2421	8	200	8.2	5.4	-8.49	-12.65	-16.76	1.874363146326e-07
2541	8	200	8.2	5.4	-8.49	-12.4	-17.26	1.635420663027e-07
2553	8	200	8.2	5.4	-8.49	-12.4	-17.01	1.977478592095e-07
2565	8	200	8.2	5.4	-8.49	-12.4	-16.76	2.0667608045229997e-07
2685	8	200	8.2	5.4	-8.49	-12.15	-17.26	1.635420663027e-07
2697	8	200	8.2	5.4	-8.49	-12.15	-17.01	1.981357079028e-07
2829	8	200	8.2	5.4	-8.49	-11.9	-17.26	1.635420663027e-07
2841	8	200	8.2	5.4	-8.49	-11.9	-17.01	1.981357079028e-07
2973	8	200	8.2	5.4	-8.49	-11.65	-17.26	1.635420663027e-07
2985	8	200	8.2	5.4	-8.49	-11.65	-17.01	1.981357079028e-07
3117	8	200	8.2	5.4	-8.49	-11.41	-17.26	1.635420663027e-07
3129	8	200	8.2	5.4	-8.49	-11.41	-17.01	1.981357079028e-07
3261	8	200	8.2	5.4	-8.49	-11.16	-17.26	1.635420663027e-07
3273	8	200	8.2	5.4	-8.49	-11.16	-17.01	1.981357079028e-07
3405	8	200	8.2	5.4	-8.49	-10.91	-17.26	1.635420663027e-07
3417	8	200	8.2	5.4	-8.49	-10.91	-17.01	1.981357079028e-07
3489	8	200	8.2	5.4	-8.26	-13.64	-18.53	1.6925441816379997e-07
3657	8	200	8.2	5.4	-8.26	-13.39	-18.03	1.770647328087e-07
3825	8	200	8.2	5.4	-8.26	-13.13	-17.52	1.880780668036e-07
3981	8	200	8.2	5.4	-8.26	-12.9	-17.26	1.534174186334e-07
4137	8	200	8.2	5.4	-8.26	-12.65	-17.01	1.5396141986139997e-07
4149	8	200	8.2	5.4	-8.26	-12.65	-16.76	1.965972689028e-07
4269	8	200	8.2	5.4	-8.26	-12.4	-17.26	1.6488110690270003e-07
4281	8	200	8.2	5.4	-8.26	-12.4	-17.01	1.993770010464e-07
4293	8	200	8.2	5.4	-8.26	-12.4	-16.76	2.0957280478229999e-07
4413	8	200	8.2	5.4	-8.26	-12.15	-17.26	1.6488110690270003e-07
4425	8	200	8.2	5.4	-8.26	-12.15	-17.01	1.997579941402e-07
4557	8	200	8.2	5.4	-8.26	-11.9	-17.26	1.6488110690270003e-07
4569	8	200	8.2	5.4	-8.26	-11.9	-17.01	1.997579941402e-07
4701	8	200	8.2	5.4	-8.26	-11.65	-17.26	1.6488110690270003e-07
4713	8	200	8.2	5.4	-8.26	-11.65	-17.01	1.997579941402e-07
