	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
5324	10	100	8.2	5.4	-8.03	-13.64	-16.25	1.0911822562229999e-06
7052	10	100	8.2	5.4	-7.8	-13.64	-16.25	1.1710463220040001e-06
8780	10	100	8.2	5.4	-7.597	-13.64	-16.25	1.286791488878e-06
12224	10	100	8.2	5.4	-7.1	-13.64	-16.5	1.0994424328770001e-06
15668	10	100	8.2	5.4	-6.64	-13.64	-16.76	1.1740390674059999e-06
15836	10	100	8.2	5.4	-6.64	-13.39	-16.25	1.206823576153e-06
26060	10	100	8.2	5.58	-8.03	-13.64	-16.25	1.0941250146909999e-06
27788	10	100	8.2	5.58	-7.8	-13.64	-16.25	1.1739890804209998e-06
29516	10	100	8.2	5.58	-7.597	-13.64	-16.25	1.2897342472219999e-06
32960	10	100	8.2	5.58	-7.1	-13.64	-16.5	1.1023851758469998e-06
36404	10	100	8.2	5.58	-6.64	-13.64	-16.76	1.176981781614e-06
36572	10	100	8.2	5.58	-6.64	-13.39	-16.25	1.212056460847e-06
46796	10	100	8.2	5.76	-8.03	-13.64	-16.25	1.0985790598709999e-06
48524	10	100	8.2	5.76	-7.8	-13.64	-16.25	1.1784431255260001e-06
50252	10	100	8.2	5.76	-7.597	-13.64	-16.25	1.2941882922159999e-06
53696	10	100	8.2	5.76	-7.1	-13.64	-16.5	1.1068391975700002e-06
57140	10	100	8.2	5.76	-6.64	-13.64	-16.76	1.181435759806e-06
57308	10	100	8.2	5.76	-6.64	-13.39	-16.25	1.219976752338e-06
67532	10	100	8.2	5.95	-8.03	-13.64	-16.25	1.105783323999e-06
69260	10	100	8.2	5.95	-7.8	-13.64	-16.25	1.185647389517e-06
70988	10	100	8.2	5.95	-7.597	-13.64	-16.25	1.3013925560299998e-06
74432	10	100	8.2	5.95	-7.1	-13.64	-16.5	1.114043423743e-06
77876	10	100	8.2	5.95	-6.64	-13.64	-16.76	1.18863991559e-06
78044	10	100	8.2	5.95	-6.64	-13.39	-16.25	1.232787550043e-06
88268	10	100	8.2	6.13	-8.03	-13.64	-16.25	1.116224625042e-06
89996	10	100	8.2	6.13	-7.8	-13.64	-16.25	1.1960886904889999e-06
91724	10	100	8.2	6.13	-7.597	-13.64	-16.25	1.31183385665e-06
95168	10	100	8.2	6.13	-7.1	-13.64	-16.5	1.124484669809e-06
98612	10	100	8.2	6.13	-6.64	-13.64	-16.76	1.199081059588e-06
98780	10	100	8.2	6.13	-6.64	-13.39	-16.25	1.251354525603e-06
107276	10	100	8.2	6.31	-8.26	-13.64	-16.25	1.085000744034e-06
109004	10	100	8.2	6.31	-8.03	-13.64	-16.25	1.1320281737049999e-06
110732	10	100	8.2	6.31	-7.8	-13.64	-16.25	1.211892238789e-06
112460	10	100	8.2	6.31	-7.597	-13.64	-16.25	1.3276374048520001e-06
115904	10	100	8.2	6.31	-7.1	-13.64	-16.5	1.1402881352409999e-06
119348	10	100	8.2	6.31	-6.64	-13.64	-16.76	1.2148843705729998e-06
119516	10	100	8.2	6.31	-6.64	-13.39	-16.25	1.2794567802709998e-06
121232	10	100	8.2	6.31	-6.41	-13.39	-16.5	1.10647232165e-06
128012	10	100	8.2	6.48	-8.26	-13.64	-16.25	1.107315705831e-06
129740	10	100	8.2	6.48	-8.03	-13.64	-16.25	1.154343135447e-06
131468	10	100	8.2	6.48	-7.8	-13.64	-16.25	1.2342072001520001e-06
133196	10	100	8.2	6.48	-7.597	-13.64	-16.25	1.3499523655379998e-06
136640	10	100	8.2	6.48	-7.1	-13.64	-16.5	1.162602979461e-06
140084	10	100	8.2	6.48	-6.64	-13.64	-16.76	1.23719899669e-06
140252	10	100	8.2	6.48	-6.64	-13.39	-16.25	1.319137788097e-06
141968	10	100	8.2	6.48	-6.41	-13.39	-16.5	1.146152166652e-06
143852	10	100	8.2	6.48	-6.18	-13.13	-16.25	1.105932464665e-06
