	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
110	10	20	8.2	5.4	-8.72	-13.64	-16.76	3.1202260347240005e-07
278	10	20	8.2	5.4	-8.72	-13.39	-16.25	3.2447799468290007e-07
1838	10	20	8.2	5.4	-8.49	-13.64	-16.76	3.169462149038e-07
2006	10	20	8.2	5.4	-8.49	-13.39	-16.25	3.295176715533e-07
3566	10	20	8.2	5.4	-8.26	-13.64	-16.76	3.253077072192e-07
3734	10	20	8.2	5.4	-8.26	-13.39	-16.25	3.3807627122329995e-07
5294	10	20	8.2	5.4	-8.03	-13.64	-16.76	3.395075597805e-07
5462	10	20	8.2	5.4	-8.03	-13.39	-16.25	3.526108601576e-07
7022	10	20	8.2	5.4	-7.8	-13.64	-16.76	3.636223730414e-07
12194	10	20	8.2	5.4	-7.1	-13.64	-17.01	3.3985918341919997e-07
12362	10	20	8.2	5.4	-7.1	-13.39	-16.5	3.5367648473729997e-07
14234	10	20	8.2	5.4	-6.87	-13.13	-16.5	3.205991642242e-07
14378	10	20	8.2	5.4	-6.87	-12.9	-16.5	3.205991642242e-07
14522	10	20	8.2	5.4	-6.87	-12.65	-16.5	3.20599158376e-07
14666	10	20	8.2	5.4	-6.87	-12.4	-16.5	3.20599158376e-07
14810	10	20	8.2	5.4	-6.87	-12.15	-16.5	3.20599158376e-07
14954	10	20	8.2	5.4	-6.87	-11.9	-16.5	3.20599158376e-07
15098	10	20	8.2	5.4	-6.87	-11.65	-16.5	3.20599158376e-07
15242	10	20	8.2	5.4	-6.87	-11.41	-16.5	3.20599158376e-07
15386	10	20	8.2	5.4	-6.87	-11.16	-16.5	3.20599158376e-07
15530	10	20	8.2	5.4	-6.87	-10.91	-16.5	3.20599158376e-07
15794	10	20	8.2	5.4	-6.64	-13.39	-17.01	3.0627091582809995e-07
15938	10	20	8.2	5.4	-6.64	-13.13	-17.01	3.0627092164659997e-07
16082	10	20	8.2	5.4	-6.64	-12.9	-17.01	3.0627091582809995e-07
16226	10	20	8.2	5.4	-6.64	-12.65	-17.01	3.0627091582809995e-07
16370	10	20	8.2	5.4	-6.64	-12.4	-17.01	3.0627091582809995e-07
16514	10	20	8.2	5.4	-6.64	-12.15	-17.01	3.0627091582809995e-07
16658	10	20	8.2	5.4	-6.64	-11.9	-17.01	3.0627091582809995e-07
16802	10	20	8.2	5.4	-6.64	-11.65	-17.01	3.0627091582809995e-07
16946	10	20	8.2	5.4	-6.64	-11.41	-17.01	3.0627091582809995e-07
17090	10	20	8.2	5.4	-6.64	-11.16	-17.01	3.0627091582809995e-07
17234	10	20	8.2	5.4	-6.64	-10.91	-17.01	3.0627091582809995e-07
17354	10	20	8.2	5.4	-6.41	-13.64	-17.52	3.10658318855e-07
17498	10	20	8.2	5.4	-6.41	-13.39	-17.52	3.098454652e-07
17642	10	20	8.2	5.4	-6.41	-13.13	-17.52	3.098454652e-07
17786	10	20	8.2	5.4	-6.41	-12.9	-17.52	3.098454652e-07
17930	10	20	8.2	5.4	-6.41	-12.65	-17.52	3.098454652e-07
18074	10	20	8.2	5.4	-6.41	-12.4	-17.52	3.098454652e-07
18218	10	20	8.2	5.4	-6.41	-12.15	-17.52	3.098454652e-07
18362	10	20	8.2	5.4	-6.41	-11.9	-17.52	3.098454652e-07
18506	10	20	8.2	5.4	-6.41	-11.65	-17.52	3.098454652e-07
18650	10	20	8.2	5.4	-6.41	-11.41	-17.52	3.098454652e-07
18794	10	20	8.2	5.4	-6.41	-11.16	-17.52	3.098454652e-07
18938	10	20	8.2	5.4	-6.41	-10.91	-17.52	3.098454652e-07
19058	10	20	8.2	5.4	-6.18	-13.64	-18.03	3.2748831322559997e-07
19202	10	20	8.2	5.4	-6.18	-13.39	-18.03	3.2748831322559997e-07
19346	10	20	8.2	5.4	-6.18	-13.13	-18.03	3.2748831322559997e-07
19490	10	20	8.2	5.4	-6.18	-12.9	-18.03	3.2748831322559997e-07
19634	10	20	8.2	5.4	-6.18	-12.65	-18.03	3.2748831322559997e-07
19778	10	20	8.2	5.4	-6.18	-12.4	-18.03	3.2748831322559997e-07
19922	10	20	8.2	5.4	-6.18	-12.15	-18.03	3.2748831322559997e-07
20066	10	20	8.2	5.4	-6.18	-11.9	-18.03	3.2748831322559997e-07
20210	10	20	8.2	5.4	-6.18	-11.65	-18.03	3.2748831322559997e-07
20354	10	20	8.2	5.4	-6.18	-11.41	-18.03	3.2748831322559997e-07
20498	10	20	8.2	5.4	-6.18	-11.16	-18.03	3.2748831322559997e-07
20642	10	20	8.2	5.4	-6.18	-10.91	-18.03	3.2748831322559997e-07
20846	10	20	8.2	5.58	-8.72	-13.64	-16.76	3.1496984586599996e-07
21014	10	20	8.2	5.58	-8.72	-13.39	-16.25	3.297189329845e-07
22574	10	20	8.2	5.58	-8.49	-13.64	-16.76	3.198934572943e-07
22742	10	20	8.2	5.58	-8.49	-13.39	-16.25	3.347586097991e-07
24302	10	20	8.2	5.58	-8.26	-13.64	-16.76	3.282549496045e-07
24470	10	20	8.2	5.58	-8.26	-13.39	-16.25	3.433172094595e-07
26030	10	20	8.2	5.58	-8.03	-13.64	-16.76	3.424548021568e-07
26198	10	20	8.2	5.58	-8.03	-13.39	-16.25	3.5785179837750003e-07
32930	10	20	8.2	5.58	-7.1	-13.64	-17.01	3.42806376964e-07
33098	10	20	8.2	5.58	-7.1	-13.39	-16.5	3.58917271581e-07
34970	10	20	8.2	5.58	-6.87	-13.13	-16.5	3.27055468716e-07
35114	10	20	8.2	5.58	-6.87	-12.9	-16.5	3.2705547671590004e-07
35258	10	20	8.2	5.58	-6.87	-12.65	-16.5	3.270554767499e-07
35402	10	20	8.2	5.58	-6.87	-12.4	-16.5	3.270554767499e-07
35546	10	20	8.2	5.58	-6.87	-12.15	-16.5	3.270554767499e-07
35690	10	20	8.2	5.58	-6.87	-11.9	-16.5	3.270554767499e-07
35834	10	20	8.2	5.58	-6.87	-11.65	-16.5	3.270554767499e-07
35978	10	20	8.2	5.58	-6.87	-11.41	-16.5	3.270554767499e-07
36122	10	20	8.2	5.58	-6.87	-11.16	-16.5	3.270554767499e-07
36266	10	20	8.2	5.58	-6.87	-10.91	-16.5	3.270554767499e-07
36530	10	20	8.2	5.58	-6.64	-13.39	-17.01	3.106359130422e-07
36674	10	20	8.2	5.58	-6.64	-13.13	-17.01	3.106359130422e-07
36818	10	20	8.2	5.58	-6.64	-12.9	-17.01	3.106359130422e-07
