	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
97	9	20	8.2	5.4	-8.72	-13.64	-17.01	2.2693628864200002e-07
5269	9	20	8.2	5.4	-8.03	-13.64	-17.26	2.171800436664e-07
5437	9	20	8.2	5.4	-8.03	-13.39	-16.76	2.2198828278970002e-07
5605	9	20	8.2	5.4	-8.03	-13.13	-16.25	2.2623317590500003e-07
8713	9	20	8.2	5.4	-7.597	-13.64	-17.52	2.247346992686e-07
10429	9	20	8.2	5.4	-7.33	-13.64	-17.77	2.067503358623e-07
10597	9	20	8.2	5.4	-7.33	-13.39	-17.26	2.162908042122e-07
10765	9	20	8.2	5.4	-7.33	-13.13	-16.76	2.1632090971870003e-07
12649	9	20	8.2	5.4	-7.1	-12.9	-16.5	2.322564353374e-07
12793	9	20	8.2	5.4	-7.1	-12.65	-16.5	2.2885714895039998e-07
12937	9	20	8.2	5.4	-7.1	-12.4	-16.5	2.2885714895039998e-07
13081	9	20	8.2	5.4	-7.1	-12.15	-16.5	2.2885714895039998e-07
13225	9	20	8.2	5.4	-7.1	-11.9	-16.5	2.2885714895039998e-07
13369	9	20	8.2	5.4	-7.1	-11.65	-16.5	2.2885714895039998e-07
13513	9	20	8.2	5.4	-7.1	-11.41	-16.5	2.2885714895039998e-07
13657	9	20	8.2	5.4	-7.1	-11.16	-16.5	2.2885714895039998e-07
13801	9	20	8.2	5.4	-7.1	-10.91	-16.5	2.2885714895039998e-07
15901	9	20	8.2	5.4	-6.64	-13.13	-17.77	2.098064156496e-07
16045	9	20	8.2	5.4	-6.64	-12.9	-17.77	2.098064156496e-07
16189	9	20	8.2	5.4	-6.64	-12.65	-17.77	2.098064156496e-07
16333	9	20	8.2	5.4	-6.64	-12.4	-17.77	2.098064156496e-07
16477	9	20	8.2	5.4	-6.64	-12.15	-17.77	2.098064156496e-07
16621	9	20	8.2	5.4	-6.64	-11.9	-17.77	2.098064156496e-07
16765	9	20	8.2	5.4	-6.64	-11.65	-17.77	2.098064156496e-07
16909	9	20	8.2	5.4	-6.64	-11.41	-17.77	2.098064156496e-07
17053	9	20	8.2	5.4	-6.64	-11.16	-17.77	2.098064156496e-07
17197	9	20	8.2	5.4	-6.64	-10.91	-17.77	2.098064156496e-07
17461	9	20	8.2	5.4	-6.41	-13.39	-18.28	2.3106355227529997e-07
17605	9	20	8.2	5.4	-6.41	-13.13	-18.28	2.310635490384e-07
17749	9	20	8.2	5.4	-6.41	-12.9	-18.28	2.310635490384e-07
17893	9	20	8.2	5.4	-6.41	-12.65	-18.28	2.310635490384e-07
18037	9	20	8.2	5.4	-6.41	-12.4	-18.28	2.310635490384e-07
18181	9	20	8.2	5.4	-6.41	-12.15	-18.28	2.310635490384e-07
18325	9	20	8.2	5.4	-6.41	-11.9	-18.28	2.310635490384e-07
18469	9	20	8.2	5.4	-6.41	-11.65	-18.28	2.310635490384e-07
18613	9	20	8.2	5.4	-6.41	-11.41	-18.28	2.310635490384e-07
18757	9	20	8.2	5.4	-6.41	-11.16	-18.28	2.310635490384e-07
18901	9	20	8.2	5.4	-6.41	-10.91	-18.28	2.310635490384e-07
19009	9	20	8.2	5.4	-6.18	-13.64	-19.04	2.1349470959289998e-07
19153	9	20	8.2	5.4	-6.18	-13.39	-19.04	2.1349470959289998e-07
19297	9	20	8.2	5.4	-6.18	-13.13	-19.04	2.1349470959289998e-07
19441	9	20	8.2	5.4	-6.18	-12.9	-19.04	2.1349470959289998e-07
19585	9	20	8.2	5.4	-6.18	-12.65	-19.04	2.1349470959289998e-07
19729	9	20	8.2	5.4	-6.18	-12.4	-19.04	2.1349470959289998e-07
19873	9	20	8.2	5.4	-6.18	-12.15	-19.04	2.1349470959289998e-07
20017	9	20	8.2	5.4	-6.18	-11.9	-19.04	2.1349470959289998e-07
20161	9	20	8.2	5.4	-6.18	-11.65	-19.04	2.1349470959289998e-07
20305	9	20	8.2	5.4	-6.18	-11.41	-19.04	2.1349470959289998e-07
