	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
24	8	20	8.2	5.4	-8.72	-13.64	-18.53	1.151341660443e-07
192	8	20	8.2	5.4	-8.72	-13.39	-18.03	1.227496856434e-07
360	8	20	8.2	5.4	-8.72	-13.13	-17.52	1.346228933444e-07
516	8	20	8.2	5.4	-8.72	-12.9	-17.26	1.1881073774889999e-07
672	8	20	8.2	5.4	-8.72	-12.65	-17.01	1.323982976937e-07
684	8	20	8.2	5.4	-8.72	-12.65	-16.76	1.60884108118e-07
816	8	20	8.2	5.4	-8.72	-12.4	-17.01	1.323982976937e-07
828	8	20	8.2	5.4	-8.72	-12.4	-16.76	1.6040428581059998e-07
960	8	20	8.2	5.4	-8.72	-12.15	-17.01	1.323982976937e-07
972	8	20	8.2	5.4	-8.72	-12.15	-16.76	1.6040428581059998e-07
1104	8	20	8.2	5.4	-8.72	-11.9	-17.01	1.323982976937e-07
1116	8	20	8.2	5.4	-8.72	-11.9	-16.76	1.6040428581059998e-07
1248	8	20	8.2	5.4	-8.72	-11.65	-17.01	1.323982976937e-07
1260	8	20	8.2	5.4	-8.72	-11.65	-16.76	1.6040428581059998e-07
1392	8	20	8.2	5.4	-8.72	-11.41	-17.01	1.323982976937e-07
1404	8	20	8.2	5.4	-8.72	-11.41	-16.76	1.6040428581059998e-07
1536	8	20	8.2	5.4	-8.72	-11.16	-17.01	1.323982976937e-07
1548	8	20	8.2	5.4	-8.72	-11.16	-16.76	1.6040428581059998e-07
1680	8	20	8.2	5.4	-8.72	-10.91	-17.01	1.323982976937e-07
1692	8	20	8.2	5.4	-8.72	-10.91	-16.76	1.6040428581059998e-07
1752	8	20	8.2	5.4	-8.49	-13.64	-18.53	1.234925816427e-07
1920	8	20	8.2	5.4	-8.49	-13.39	-18.03	1.311081035922e-07
2088	8	20	8.2	5.4	-8.49	-13.13	-17.52	1.427910543379e-07
2244	8	20	8.2	5.4	-8.49	-12.9	-17.26	1.23964502292e-07
2400	8	20	8.2	5.4	-8.49	-12.65	-17.01	1.3650448898680001e-07
2412	8	20	8.2	5.4	-8.49	-12.65	-16.76	1.6603791553820003e-07
2544	8	20	8.2	5.4	-8.49	-12.4	-17.01	1.3650448898680001e-07
2556	8	20	8.2	5.4	-8.49	-12.4	-16.76	1.65379045351e-07
2688	8	20	8.2	5.4	-8.49	-12.15	-17.01	1.3650448898680001e-07
2700	8	20	8.2	5.4	-8.49	-12.15	-16.76	1.65379045351e-07
2832	8	20	8.2	5.4	-8.49	-11.9	-17.01	1.3650448898680001e-07
2844	8	20	8.2	5.4	-8.49	-11.9	-16.76	1.65379045351e-07
2976	8	20	8.2	5.4	-8.49	-11.65	-17.01	1.3650448898680001e-07
2988	8	20	8.2	5.4	-8.49	-11.65	-16.76	1.65379045351e-07
3120	8	20	8.2	5.4	-8.49	-11.41	-17.01	1.3650448898680001e-07
3132	8	20	8.2	5.4	-8.49	-11.41	-16.76	1.65379045351e-07
3264	8	20	8.2	5.4	-8.49	-11.16	-17.01	1.3650448898680001e-07
3276	8	20	8.2	5.4	-8.49	-11.16	-16.76	1.65379045351e-07
3408	8	20	8.2	5.4	-8.49	-10.91	-17.01	1.3650448898680001e-07
3420	8	20	8.2	5.4	-8.49	-10.91	-16.76	1.65379045351e-07
3480	8	20	8.2	5.4	-8.26	-13.64	-18.53	1.3768720918720002e-07
3648	8	20	8.2	5.4	-8.26	-13.39	-18.03	1.453027351333e-07
3816	8	20	8.2	5.4	-8.26	-13.13	-17.52	1.56662583152e-07
3972	8	20	8.2	5.4	-8.26	-12.9	-17.26	1.327168507128e-07
4116	8	20	8.2	5.4	-8.26	-12.65	-17.26	1.1842712434040001e-07
4128	8	20	8.2	5.4	-8.26	-12.65	-17.01	1.434777821718e-07
4260	8	20	8.2	5.4	-8.26	-12.4	-17.26	1.1842712434040001e-07
4272	8	20	8.2	5.4	-8.26	-12.4	-17.01	1.434777821718e-07
4404	8	20	8.2	5.4	-8.26	-12.15	-17.26	1.1842712434040001e-07
4416	8	20	8.2	5.4	-8.26	-12.15	-17.01	1.434777821718e-07
4548	8	20	8.2	5.4	-8.26	-11.9	-17.26	1.1842712434040001e-07
4560	8	20	8.2	5.4	-8.26	-11.9	-17.01	1.434777821718e-07
4692	8	20	8.2	5.4	-8.26	-11.65	-17.26	1.1842712434040001e-07
4704	8	20	8.2	5.4	-8.26	-11.65	-17.01	1.434777821718e-07
4836	8	20	8.2	5.4	-8.26	-11.41	-17.26	1.1842712434040001e-07
4848	8	20	8.2	5.4	-8.26	-11.41	-17.01	1.434777821718e-07
4980	8	20	8.2	5.4	-8.26	-11.16	-17.26	1.1842712434040001e-07
4992	8	20	8.2	5.4	-8.26	-11.16	-17.01	1.434777821718e-07
5124	8	20	8.2	5.4	-8.26	-10.91	-17.26	1.1842712434040001e-07
5136	8	20	8.2	5.4	-8.26	-10.91	-17.01	1.434777821718e-07
5208	8	20	8.2	5.4	-8.03	-13.64	-18.53	1.6179314907779999e-07
5532	8	20	8.2	5.4	-8.03	-13.13	-17.77	1.1522363830010001e-07
5700	8	20	8.2	5.4	-8.03	-12.9	-17.26	1.475804723029e-07
5844	8	20	8.2	5.4	-8.03	-12.65	-17.26	1.282018234809e-07
5856	8	20	8.2	5.4	-8.03	-12.65	-17.01	1.5532007505020001e-07
5988	8	20	8.2	5.4	-8.03	-12.4	-17.26	1.282018234809e-07
6000	8	20	8.2	5.4	-8.03	-12.4	-17.01	1.5532007505020001e-07
6132	8	20	8.2	5.4	-8.03	-12.15	-17.26	1.282018234809e-07
6144	8	20	8.2	5.4	-8.03	-12.15	-17.01	1.5532007505020001e-07
6276	8	20	8.2	5.4	-8.03	-11.9	-17.26	1.282018234809e-07
6288	8	20	8.2	5.4	-8.03	-11.9	-17.01	1.5532007505020001e-07
6420	8	20	8.2	5.4	-8.03	-11.65	-17.26	1.282018234809e-07
6432	8	20	8.2	5.4	-8.03	-11.65	-17.01	1.5532007505020001e-07
6564	8	20	8.2	5.4	-8.03	-11.41	-17.26	1.282018234809e-07
6576	8	20	8.2	5.4	-8.03	-11.41	-17.01	1.5532007505020001e-07
6708	8	20	8.2	5.4	-8.03	-11.16	-17.26	1.282018234809e-07
6720	8	20	8.2	5.4	-8.03	-11.16	-17.01	1.5532007505020001e-07
6852	8	20	8.2	5.4	-8.03	-10.91	-17.26	1.282018234809e-07
6864	8	20	8.2	5.4	-8.03	-10.91	-17.01	1.5532007505020001e-07
6924	8	20	8.2	5.4	-7.8	-13.64	-18.77	1.20813325861e-07
7092	8	20	8.2	5.4	-7.8	-13.39	-18.28	1.259054672395e-07
7260	8	20	8.2	5.4	-7.8	-13.13	-17.77	1.37720613527e-07
7416	8	20	8.2	5.4	-7.8	-12.9	-17.52	1.193365984299e-07
7560	8	20	8.2	5.4	-7.8	-12.65	-17.52	1.186059670622e-07
7572	8	20	8.2	5.4	-7.8	-12.65	-17.26	1.448015302809e-07
7704	8	20	8.2	5.4	-7.8	-12.4	-17.52	1.186059670622e-07
7716	8	20	8.2	5.4	-7.8	-12.4	-17.26	1.448015302809e-07
7848	8	20	8.2	5.4	-7.8	-12.15	-17.52	1.186059670622e-07
7860	8	20	8.2	5.4	-7.8	-12.15	-17.26	1.448015302809e-07
7992	8	20	8.2	5.4	-7.8	-11.9	-17.52	1.186059670622e-07
8004	8	20	8.2	5.4	-7.8	-11.9	-17.26	1.448015302809e-07
8136	8	20	8.2	5.4	-7.8	-11.65	-17.52	1.186059670622e-07
8148	8	20	8.2	5.4	-7.8	-11.65	-17.26	1.448015302809e-07
8280	8	20	8.2	5.4	-7.8	-11.41	-17.52	1.186059670622e-07
8292	8	20	8.2	5.4	-7.8	-11.41	-17.26	1.448015302809e-07
8424	8	20	8.2	5.4	-7.8	-11.16	-17.52	1.186059670622e-07
8436	8	20	8.2	5.4	-7.8	-11.16	-17.26	1.448015302809e-07
8568	8	20	8.2	5.4	-7.8	-10.91	-17.52	1.186059670622e-07
8580	8	20	8.2	5.4	-7.8	-10.91	-17.26	1.448015302809e-07
8652	8	20	8.2	5.4	-7.597	-13.64	-18.77	1.5495421653139998e-07
8820	8	20	8.2	5.4	-7.597	-13.39	-18.28	1.592692308351e-07
9132	8	20	8.2	5.4	-7.597	-12.9	-17.77	1.1416276823569999e-07
9144	8	20	8.2	5.4	-7.597	-12.9	-17.52	1.394408125973e-07
9276	8	20	8.2	5.4	-7.597	-12.65	-17.77	1.1416276823569999e-07
9288	8	20	8.2	5.4	-7.597	-12.65	-17.52	1.383112342847e-07
9420	8	20	8.2	5.4	-7.597	-12.4	-17.77	1.1416276823569999e-07
9432	8	20	8.2	5.4	-7.597	-12.4	-17.52	1.383112342847e-07
9564	8	20	8.2	5.4	-7.597	-12.15	-17.77	1.1416276823569999e-07
9576	8	20	8.2	5.4	-7.597	-12.15	-17.52	1.383112342847e-07
9708	8	20	8.2	5.4	-7.597	-11.9	-17.77	1.1416276823569999e-07
9720	8	20	8.2	5.4	-7.597	-11.9	-17.52	1.383112342847e-07
9852	8	20	8.2	5.4	-7.597	-11.65	-17.77	1.1416276823569999e-07
9864	8	20	8.2	5.4	-7.597	-11.65	-17.52	1.383112342847e-07
9996	8	20	8.2	5.4	-7.597	-11.41	-17.77	1.1416276823569999e-07
10008	8	20	8.2	5.4	-7.597	-11.41	-17.52	1.383112342847e-07
10140	8	20	8.2	5.4	-7.597	-11.16	-17.77	1.1416276823569999e-07
10152	8	20	8.2	5.4	-7.597	-11.16	-17.52	1.383112342847e-07
10284	8	20	8.2	5.4	-7.597	-10.91	-17.77	1.1416276823569999e-07
10296	8	20	8.2	5.4	-7.597	-10.91	-17.52	1.383112342847e-07
10368	8	20	8.2	5.4	-7.33	-13.64	-19.04	1.294501604208e-07
10536	8	20	8.2	5.4	-7.33	-13.39	-18.53	1.3986371885110003e-07
10704	8	20	8.2	5.4	-7.33	-13.13	-18.03	1.486635584463e-07
10848	8	20	8.2	5.4	-7.33	-12.9	-18.03	1.238117608949e-07
10860	8	20	8.2	5.4	-7.33	-12.9	-17.77	1.5115681677220002e-07
10992	8	20	8.2	5.4	-7.33	-12.65	-18.03	1.238117608949e-07
11004	8	20	8.2	5.4	-7.33	-12.65	-17.77	1.5115681677220002e-07
11136	8	20	8.2	5.4	-7.33	-12.4	-18.03	1.238117608949e-07
11148	8	20	8.2	5.4	-7.33	-12.4	-17.77	1.5115681677220002e-07
11280	8	20	8.2	5.4	-7.33	-12.15	-18.03	1.238117608949e-07
11292	8	20	8.2	5.4	-7.33	-12.15	-17.77	1.5115681677220002e-07
11424	8	20	8.2	5.4	-7.33	-11.9	-18.03	1.238117608949e-07
11436	8	20	8.2	5.4	-7.33	-11.9	-17.77	1.5115681677220002e-07
11568	8	20	8.2	5.4	-7.33	-11.65	-18.03	1.238117608949e-07
11580	8	20	8.2	5.4	-7.33	-11.65	-17.77	1.5115681677220002e-07
11712	8	20	8.2	5.4	-7.33	-11.41	-18.03	1.238117608949e-07
11724	8	20	8.2	5.4	-7.33	-11.41	-17.77	1.5115681677220002e-07
11856	8	20	8.2	5.4	-7.33	-11.16	-18.03	1.238117608949e-07
11868	8	20	8.2	5.4	-7.33	-11.16	-17.77	1.5115681677220002e-07
12000	8	20	8.2	5.4	-7.33	-10.91	-18.03	1.238117608949e-07
12012	8	20	8.2	5.4	-7.33	-10.91	-17.77	1.5115681677220002e-07
12252	8	20	8.2	5.4	-7.1	-13.39	-18.77	1.2522846667790001e-07
12408	8	20	8.2	5.4	-7.1	-13.13	-18.53	1.157399938678e-07
12420	8	20	8.2	5.4	-7.1	-13.13	-18.28	1.4022182056929998e-07
12552	8	20	8.2	5.4	-7.1	-12.9	-18.53	1.157399938678e-07
12564	8	20	8.2	5.4	-7.1	-12.9	-18.28	1.4022182056929998e-07
12696	8	20	8.2	5.4	-7.1	-12.65	-18.53	1.157399938678e-07
12708	8	20	8.2	5.4	-7.1	-12.65	-18.28	1.4022182056929998e-07
12840	8	20	8.2	5.4	-7.1	-12.4	-18.53	1.157399938678e-07
12852	8	20	8.2	5.4	-7.1	-12.4	-18.28	1.4022182056929998e-07
12984	8	20	8.2	5.4	-7.1	-12.15	-18.53	1.157399938678e-07
12996	8	20	8.2	5.4	-7.1	-12.15	-18.28	1.4022182056929998e-07
13128	8	20	8.2	5.4	-7.1	-11.9	-18.53	1.157399938678e-07
13140	8	20	8.2	5.4	-7.1	-11.9	-18.28	1.4022182056929998e-07
13272	8	20	8.2	5.4	-7.1	-11.65	-18.53	1.157399938678e-07
13284	8	20	8.2	5.4	-7.1	-11.65	-18.28	1.4022182056929998e-07
13416	8	20	8.2	5.4	-7.1	-11.41	-18.53	1.157399938678e-07
13428	8	20	8.2	5.4	-7.1	-11.41	-18.28	1.4022182056929998e-07
13560	8	20	8.2	5.4	-7.1	-11.16	-18.53	1.157399938678e-07
13572	8	20	8.2	5.4	-7.1	-11.16	-18.28	1.4022182056929998e-07
13704	8	20	8.2	5.4	-7.1	-10.91	-18.53	1.157399938678e-07
13716	8	20	8.2	5.4	-7.1	-10.91	-18.28	1.4022182056929998e-07
13968	8	20	8.2	5.4	-6.87	-13.39	-19.04	1.142879979835e-07
14112	8	20	8.2	5.4	-6.87	-13.13	-19.04	1.142879979835e-07
14124	8	20	8.2	5.4	-6.87	-13.13	-18.77	1.406043888021e-07
14256	8	20	8.2	5.4	-6.87	-12.9	-19.04	1.142879979835e-07
14268	8	20	8.2	5.4	-6.87	-12.9	-18.77	1.406043888021e-07
14400	8	20	8.2	5.4	-6.87	-12.65	-19.04	1.142879979835e-07
14412	8	20	8.2	5.4	-6.87	-12.65	-18.77	1.406043888021e-07
14544	8	20	8.2	5.4	-6.87	-12.4	-19.04	1.142879979835e-07
14556	8	20	8.2	5.4	-6.87	-12.4	-18.77	1.406043888021e-07
14688	8	20	8.2	5.4	-6.87	-12.15	-19.04	1.142879979835e-07
14700	8	20	8.2	5.4	-6.87	-12.15	-18.77	1.406043888021e-07
14832	8	20	8.2	5.4	-6.87	-11.9	-19.04	1.142879979835e-07
14844	8	20	8.2	5.4	-6.87	-11.9	-18.77	1.406043888021e-07
14976	8	20	8.2	5.4	-6.87	-11.65	-19.04	1.142879979835e-07
14988	8	20	8.2	5.4	-6.87	-11.65	-18.77	1.406043888021e-07
15120	8	20	8.2	5.4	-6.87	-11.41	-19.04	1.142879979835e-07
15132	8	20	8.2	5.4	-6.87	-11.41	-18.77	1.406043888021e-07
15264	8	20	8.2	5.4	-6.87	-11.16	-19.04	1.142879979835e-07
15276	8	20	8.2	5.4	-6.87	-11.16	-18.77	1.406043888021e-07
15408	8	20	8.2	5.4	-6.87	-10.91	-19.04	1.142879979835e-07
15420	8	20	8.2	5.4	-6.87	-10.91	-18.77	1.406043888021e-07
20760	8	20	8.2	5.58	-8.72	-13.64	-18.53	1.1808147061589999e-07
20928	8	20	8.2	5.58	-8.72	-13.39	-18.03	1.279908212049e-07
21096	8	20	8.2	5.58	-8.72	-13.13	-17.52	1.4416018357279999e-07
21252	8	20	8.2	5.58	-8.72	-12.9	-17.26	1.350073792247e-07
21396	8	20	8.2	5.58	-8.72	-12.65	-17.26	1.2925513932160002e-07
21408	8	20	8.2	5.58	-8.72	-12.65	-17.01	1.565962368874e-07
21540	8	20	8.2	5.58	-8.72	-12.4	-17.26	1.2925513932160002e-07
21552	8	20	8.2	5.58	-8.72	-12.4	-17.01	1.565962368874e-07
21684	8	20	8.2	5.58	-8.72	-12.15	-17.26	1.2925513932160002e-07
21696	8	20	8.2	5.58	-8.72	-12.15	-17.01	1.565962368874e-07
21828	8	20	8.2	5.58	-8.72	-11.9	-17.26	1.2925513932160002e-07
21840	8	20	8.2	5.58	-8.72	-11.9	-17.01	1.565962368874e-07
21972	8	20	8.2	5.58	-8.72	-11.65	-17.26	1.2925513932160002e-07
21984	8	20	8.2	5.58	-8.72	-11.65	-17.01	1.565962368874e-07
22116	8	20	8.2	5.58	-8.72	-11.41	-17.26	1.2925513932160002e-07
22128	8	20	8.2	5.58	-8.72	-11.41	-17.01	1.565962368874e-07
22260	8	20	8.2	5.58	-8.72	-11.16	-17.26	1.2925513932160002e-07
22272	8	20	8.2	5.58	-8.72	-11.16	-17.01	1.565962368874e-07
22404	8	20	8.2	5.58	-8.72	-10.91	-17.26	1.2925513932160002e-07
22416	8	20	8.2	5.58	-8.72	-10.91	-17.01	1.565962368874e-07
22488	8	20	8.2	5.58	-8.49	-13.64	-18.53	1.2643988621160002e-07
22656	8	20	8.2	5.58	-8.49	-13.39	-18.03	1.363492430083e-07
22824	8	20	8.2	5.58	-8.49	-13.13	-17.52	1.5232834455470003e-07
22980	8	20	8.2	5.58	-8.49	-12.9	-17.26	1.401611437511e-07
23124	8	20	8.2	5.58	-8.49	-12.65	-17.26	1.326444275336e-07
23136	8	20	8.2	5.58	-8.49	-12.65	-17.01	1.607024551461e-07
23268	8	20	8.2	5.58	-8.49	-12.4	-17.26	1.326444275336e-07
23280	8	20	8.2	5.58	-8.49	-12.4	-17.01	1.607024551461e-07
23412	8	20	8.2	5.58	-8.49	-12.15	-17.26	1.326444275336e-07
23424	8	20	8.2	5.58	-8.49	-12.15	-17.01	1.607024551461e-07
23556	8	20	8.2	5.58	-8.49	-11.9	-17.26	1.326444275336e-07
23568	8	20	8.2	5.58	-8.49	-11.9	-17.01	1.607024551461e-07
23700	8	20	8.2	5.58	-8.49	-11.65	-17.26	1.326444275336e-07
23712	8	20	8.2	5.58	-8.49	-11.65	-17.01	1.607024551461e-07
23844	8	20	8.2	5.58	-8.49	-11.41	-17.26	1.326444275336e-07
23856	8	20	8.2	5.58	-8.49	-11.41	-17.01	1.607024551461e-07
23988	8	20	8.2	5.58	-8.49	-11.16	-17.26	1.326444275336e-07
24000	8	20	8.2	5.58	-8.49	-11.16	-17.01	1.607024551461e-07
24132	8	20	8.2	5.58	-8.49	-10.91	-17.26	1.326444275336e-07
24144	8	20	8.2	5.58	-8.49	-10.91	-17.01	1.607024551461e-07
24216	8	20	8.2	5.58	-8.26	-13.64	-18.53	1.406345137415e-07
24384	8	20	8.2	5.58	-8.26	-13.39	-18.03	1.5054386611820002e-07
24552	8	20	8.2	5.58	-8.26	-13.13	-17.52	1.6619987333470002e-07
24708	8	20	8.2	5.58	-8.26	-12.9	-17.26	1.489134921402e-07
24852	8	20	8.2	5.58	-8.26	-12.65	-17.26	1.384002479847e-07
24996	8	20	8.2	5.58	-8.26	-12.4	-17.26	1.384002479847e-07
25140	8	20	8.2	5.58	-8.26	-12.15	-17.26	1.384002479847e-07
25284	8	20	8.2	5.58	-8.26	-11.9	-17.26	1.384002479847e-07
25428	8	20	8.2	5.58	-8.26	-11.65	-17.26	1.384002479847e-07
25572	8	20	8.2	5.58	-8.26	-11.41	-17.26	1.384002479847e-07
25716	8	20	8.2	5.58	-8.26	-11.16	-17.26	1.384002479847e-07
25860	8	20	8.2	5.58	-8.26	-10.91	-17.26	1.384002479847e-07
25944	8	20	8.2	5.58	-8.03	-13.64	-18.53	1.6474045365079998e-07
26268	8	20	8.2	5.58	-8.03	-13.13	-17.77	1.2476092839e-07
26424	8	20	8.2	5.58	-8.03	-12.9	-17.52	1.216613184374e-07
26436	8	20	8.2	5.58	-8.03	-12.9	-17.26	1.637771136821e-07
26568	8	20	8.2	5.58	-8.03	-12.65	-17.52	1.213691116552e-07
26580	8	20	8.2	5.58	-8.03	-12.65	-17.26	1.481750008689e-07
26712	8	20	8.2	5.58	-8.03	-12.4	-17.52	1.213691116552e-07
26724	8	20	8.2	5.58	-8.03	-12.4	-17.26	1.481750008689e-07
26856	8	20	8.2	5.58	-8.03	-12.15	-17.52	1.213691116552e-07
26868	8	20	8.2	5.58	-8.03	-12.15	-17.26	1.481750008689e-07
27000	8	20	8.2	5.58	-8.03	-11.9	-17.52	1.213691116552e-07
27012	8	20	8.2	5.58	-8.03	-11.9	-17.26	1.481750008689e-07
27144	8	20	8.2	5.58	-8.03	-11.65	-17.52	1.213691116552e-07
27156	8	20	8.2	5.58	-8.03	-11.65	-17.26	1.481750008689e-07
27288	8	20	8.2	5.58	-8.03	-11.41	-17.52	1.213691116552e-07
27300	8	20	8.2	5.58	-8.03	-11.41	-17.26	1.481750008689e-07
27432	8	20	8.2	5.58	-8.03	-11.16	-17.52	1.213691116552e-07
27444	8	20	8.2	5.58	-8.03	-11.16	-17.26	1.481750008689e-07
27576	8	20	8.2	5.58	-8.03	-10.91	-17.52	1.213691116552e-07
27588	8	20	8.2	5.58	-8.03	-10.91	-17.26	1.481750008689e-07
27660	8	20	8.2	5.58	-7.8	-13.64	-18.77	1.2376063476260003e-07
27828	8	20	8.2	5.58	-7.8	-13.39	-18.28	1.311465981625e-07
27996	8	20	8.2	5.58	-7.8	-13.13	-17.77	1.4725790357049998e-07
28152	8	20	8.2	5.58	-7.8	-12.9	-17.52	1.3553321622950002e-07
28296	8	20	8.2	5.58	-7.8	-12.65	-17.52	1.3496592017379998e-07
28308	8	20	8.2	5.58	-7.8	-12.65	-17.26	1.647747946309e-07
28440	8	20	8.2	5.58	-7.8	-12.4	-17.52	1.3496592017379998e-07
28452	8	20	8.2	5.58	-7.8	-12.4	-17.26	1.647747946309e-07
28584	8	20	8.2	5.58	-7.8	-12.15	-17.52	1.3496592017379998e-07
28596	8	20	8.2	5.58	-7.8	-12.15	-17.26	1.647747946309e-07
28728	8	20	8.2	5.58	-7.8	-11.9	-17.52	1.3496592017379998e-07
28740	8	20	8.2	5.58	-7.8	-11.9	-17.26	1.647747946309e-07
28872	8	20	8.2	5.58	-7.8	-11.65	-17.52	1.3496592017379998e-07
28884	8	20	8.2	5.58	-7.8	-11.65	-17.26	1.647747946309e-07
29016	8	20	8.2	5.58	-7.8	-11.41	-17.52	1.3496592017379998e-07
29028	8	20	8.2	5.58	-7.8	-11.41	-17.26	1.647747946309e-07
29160	8	20	8.2	5.58	-7.8	-11.16	-17.52	1.3496592017379998e-07
29172	8	20	8.2	5.58	-7.8	-11.16	-17.26	1.647747946309e-07
29304	8	20	8.2	5.58	-7.8	-10.91	-17.52	1.3496592017379998e-07
29316	8	20	8.2	5.58	-7.8	-10.91	-17.26	1.647747946309e-07
29388	8	20	8.2	5.58	-7.597	-13.64	-18.77	1.579015254114e-07
29556	8	20	8.2	5.58	-7.597	-13.39	-18.28	1.645103617209e-07
29712	8	20	8.2	5.58	-7.597	-13.13	-18.03	1.1744756310329999e-07
29868	8	20	8.2	5.58	-7.597	-12.9	-17.77	1.2766637526099998e-07
29880	8	20	8.2	5.58	-7.597	-12.9	-17.52	1.556374296395e-07
30012	8	20	8.2	5.58	-7.597	-12.65	-17.77	1.2766637526099998e-07
30024	8	20	8.2	5.58	-7.597	-12.65	-17.52	1.546712800159e-07
30156	8	20	8.2	5.58	-7.597	-12.4	-17.77	1.2766637526099998e-07
30168	8	20	8.2	5.58	-7.597	-12.4	-17.52	1.546712800159e-07
30300	8	20	8.2	5.58	-7.597	-12.15	-17.77	1.2766637526099998e-07
30312	8	20	8.2	5.58	-7.597	-12.15	-17.52	1.546712800159e-07
30444	8	20	8.2	5.58	-7.597	-11.9	-17.77	1.2766637526099998e-07
30456	8	20	8.2	5.58	-7.597	-11.9	-17.52	1.546712800159e-07
30588	8	20	8.2	5.58	-7.597	-11.65	-17.77	1.2766637526099998e-07
30600	8	20	8.2	5.58	-7.597	-11.65	-17.52	1.546712800159e-07
30732	8	20	8.2	5.58	-7.597	-11.41	-17.77	1.2766637526099998e-07
30744	8	20	8.2	5.58	-7.597	-11.41	-17.52	1.546712800159e-07
30876	8	20	8.2	5.58	-7.597	-11.16	-17.77	1.2766637526099998e-07
30888	8	20	8.2	5.58	-7.597	-11.16	-17.52	1.546712800159e-07
31020	8	20	8.2	5.58	-7.597	-10.91	-17.77	1.2766637526099998e-07
