	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
3574	9	200	8.2	5.4	-8.26	-13.64	-16.76	5.590027845145001e-07
3742	9	200	8.2	5.4	-8.26	-13.39	-16.25	5.766908705851e-07
7018	9	200	8.2	5.4	-7.8	-13.64	-17.01	5.423682598885e-07
7186	9	200	8.2	5.4	-7.8	-13.39	-16.5	5.59664690093e-07
12178	9	200	8.2	5.4	-7.1	-13.64	-17.52	5.997168327229999e-07
13894	9	200	8.2	5.4	-6.87	-13.64	-17.77	5.498435244952e-07
14062	9	200	8.2	5.4	-6.87	-13.39	-17.26	5.673991762522e-07
14230	9	200	8.2	5.4	-6.87	-13.13	-16.76	5.517024896443e-07
15610	9	200	8.2	5.4	-6.64	-13.64	-18.03	5.008632658342e-07
15778	9	200	8.2	5.4	-6.64	-13.39	-17.52	5.173638508056e-07
15946	9	200	8.2	5.4	-6.64	-13.13	-17.01	5.154709578152e-07
16114	9	200	8.2	5.4	-6.64	-12.9	-16.5	5.911829068631e-07
17830	9	200	8.2	5.4	-6.41	-12.9	-16.76	5.482683038453e-07
17998	9	200	8.2	5.4	-6.41	-12.65	-16.25	5.954893553409e-07
19546	9	200	8.2	5.4	-6.18	-12.9	-17.01	5.243226111776e-07
19714	9	200	8.2	5.4	-6.18	-12.65	-16.5	5.779657545756e-07
19870	9	200	8.2	5.4	-6.18	-12.4	-16.25	5.645232726885e-07
20014	9	200	8.2	5.4	-6.18	-12.15	-16.25	5.645232726885e-07
20158	9	200	8.2	5.4	-6.18	-11.9	-16.25	5.645232722641e-07
20302	9	200	8.2	5.4	-6.18	-11.65	-16.25	5.645232722641e-07
20446	9	200	8.2	5.4	-6.18	-11.41	-16.25	5.645232722641e-07
20590	9	200	8.2	5.4	-6.18	-11.16	-16.25	5.645232722641e-07
20734	9	200	8.2	5.4	-6.18	-10.91	-16.25	5.645232722641e-07
24310	9	200	8.2	5.58	-8.26	-13.64	-16.76	5.619399145212e-07
24478	9	200	8.2	5.58	-8.26	-13.39	-16.25	5.819138875119001e-07
27754	9	200	8.2	5.58	-7.8	-13.64	-17.01	5.453053823132999e-07
27922	9	200	8.2	5.58	-7.8	-13.39	-16.5	5.648877161811999e-07
34630	9	200	8.2	5.58	-6.87	-13.64	-17.77	5.527806447391e-07
34798	9	200	8.2	5.58	-6.87	-13.39	-17.26	5.72622188979e-07
