	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
18	8	100	8.2	5.4	-8.72	-13.64	-18.77	7.873629892348e-08
30	8	100	8.2	5.4	-8.72	-13.64	-18.53	1.2951882590480002e-07
174	8	100	8.2	5.4	-8.72	-13.39	-18.53	5.5457089813670004e-08
186	8	100	8.2	5.4	-8.72	-13.39	-18.28	8.488494798707e-08
330	8	100	8.2	5.4	-8.72	-13.13	-18.28	5.250780644264e-08
342	8	100	8.2	5.4	-8.72	-13.13	-18.03	6.824909977445e-08
354	8	100	8.2	5.4	-8.72	-13.13	-17.77	9.781981858537e-08
474	8	100	8.2	5.4	-8.72	-12.9	-18.28	6.083703274111001e-08
486	8	100	8.2	5.4	-8.72	-12.9	-18.03	6.766370812861e-08
498	8	100	8.2	5.4	-8.72	-12.9	-17.77	7.76020035325e-08
510	8	100	8.2	5.4	-8.72	-12.9	-17.52	9.516518042268e-08
522	8	100	8.2	5.4	-8.72	-12.9	-17.26	1.282869163888e-07
618	8	100	8.2	5.4	-8.72	-12.65	-18.28	6.083703274111001e-08
630	8	100	8.2	5.4	-8.72	-12.65	-18.03	7.370574430708999e-08
642	8	100	8.2	5.4	-8.72	-12.65	-17.77	8.998455568133e-08
654	8	100	8.2	5.4	-8.72	-12.65	-17.52	1.0901877033150001e-07
666	8	100	8.2	5.4	-8.72	-12.65	-17.26	1.2131634566260003e-07
762	8	100	8.2	5.4	-8.72	-12.4	-18.28	6.083703274111001e-08
774	8	100	8.2	5.4	-8.72	-12.4	-18.03	7.370574430708999e-08
786	8	100	8.2	5.4	-8.72	-12.4	-17.77	8.998455568133e-08
798	8	100	8.2	5.4	-8.72	-12.4	-17.52	1.0901877033150001e-07
906	8	100	8.2	5.4	-8.72	-12.15	-18.28	6.083703274111001e-08
918	8	100	8.2	5.4	-8.72	-12.15	-18.03	7.370574430708999e-08
930	8	100	8.2	5.4	-8.72	-12.15	-17.77	8.998455568133e-08
942	8	100	8.2	5.4	-8.72	-12.15	-17.52	1.0901877033150001e-07
1050	8	100	8.2	5.4	-8.72	-11.9	-18.28	6.083703274111001e-08
1062	8	100	8.2	5.4	-8.72	-11.9	-18.03	7.370574430708999e-08
1074	8	100	8.2	5.4	-8.72	-11.9	-17.77	8.998455568133e-08
1086	8	100	8.2	5.4	-8.72	-11.9	-17.52	1.0901877033150001e-07
1194	8	100	8.2	5.4	-8.72	-11.65	-18.28	6.083703274111001e-08
1206	8	100	8.2	5.4	-8.72	-11.65	-18.03	7.370574430708999e-08
1218	8	100	8.2	5.4	-8.72	-11.65	-17.77	8.998455568133e-08
1230	8	100	8.2	5.4	-8.72	-11.65	-17.52	1.0901877033150001e-07
1338	8	100	8.2	5.4	-8.72	-11.41	-18.28	6.083703274111001e-08
1350	8	100	8.2	5.4	-8.72	-11.41	-18.03	7.370574430708999e-08
1362	8	100	8.2	5.4	-8.72	-11.41	-17.77	8.998455568133e-08
1374	8	100	8.2	5.4	-8.72	-11.41	-17.52	1.0901877033150001e-07
1482	8	100	8.2	5.4	-8.72	-11.16	-18.28	6.083703274111001e-08
1494	8	100	8.2	5.4	-8.72	-11.16	-18.03	7.370574430708999e-08
1506	8	100	8.2	5.4	-8.72	-11.16	-17.77	8.998455568133e-08
1518	8	100	8.2	5.4	-8.72	-11.16	-17.52	1.0901877033150001e-07
1626	8	100	8.2	5.4	-8.72	-10.91	-18.28	6.083703274111001e-08
1638	8	100	8.2	5.4	-8.72	-10.91	-18.03	7.370574430708999e-08
1650	8	100	8.2	5.4	-8.72	-10.91	-17.77	8.998455568133e-08
1662	8	100	8.2	5.4	-8.72	-10.91	-17.52	1.0901877033150001e-07
1746	8	100	8.2	5.4	-8.49	-13.64	-18.77	8.366024930948e-08
1902	8	100	8.2	5.4	-8.49	-13.39	-18.53	5.816299454141001e-08
1914	8	100	8.2	5.4	-8.49	-13.39	-18.28	8.969681120967e-08
2058	8	100	8.2	5.4	-8.49	-13.13	-18.28	5.3960954163329996e-08
2070	8	100	8.2	5.4	-8.49	-13.13	-18.03	7.083321150901e-08
2082	8	100	8.2	5.4	-8.49	-13.13	-17.77	1.02522144826e-07
2202	8	100	8.2	5.4	-8.49	-12.9	-18.28	6.138816114641e-08
2214	8	100	8.2	5.4	-8.49	-12.9	-18.03	6.855969764149999e-08
2226	8	100	8.2	5.4	-8.49	-12.9	-17.77	7.923245475734e-08
2238	8	100	8.2	5.4	-8.49	-12.9	-17.52	9.806460152577e-08
2346	8	100	8.2	5.4	-8.49	-12.65	-18.28	6.138816114641e-08
2358	8	100	8.2	5.4	-8.49	-12.65	-18.03	7.437345179730999e-08
2370	8	100	8.2	5.4	-8.49	-12.65	-17.77	9.079973484076999e-08
2382	8	100	8.2	5.4	-8.49	-12.65	-17.52	1.1000638285369999e-07
2394	8	100	8.2	5.4	-8.49	-12.65	-17.26	1.229847587144e-07
2490	8	100	8.2	5.4	-8.49	-12.4	-18.28	6.138816114641e-08
2502	8	100	8.2	5.4	-8.49	-12.4	-18.03	7.437345179730999e-08
2514	8	100	8.2	5.4	-8.49	-12.4	-17.77	9.079973484076999e-08
2526	8	100	8.2	5.4	-8.49	-12.4	-17.52	1.1000638285369999e-07
2634	8	100	8.2	5.4	-8.49	-12.15	-18.28	6.138816114641e-08
2646	8	100	8.2	5.4	-8.49	-12.15	-18.03	7.437345179730999e-08
2658	8	100	8.2	5.4	-8.49	-12.15	-17.77	9.079973484076999e-08
2670	8	100	8.2	5.4	-8.49	-12.15	-17.52	1.1000638285369999e-07
2778	8	100	8.2	5.4	-8.49	-11.9	-18.28	6.138816114641e-08
2790	8	100	8.2	5.4	-8.49	-11.9	-18.03	7.437345179730999e-08
2802	8	100	8.2	5.4	-8.49	-11.9	-17.77	9.079973484076999e-08
2814	8	100	8.2	5.4	-8.49	-11.9	-17.52	1.1000638285369999e-07
2922	8	100	8.2	5.4	-8.49	-11.65	-18.28	6.138816114641e-08
2934	8	100	8.2	5.4	-8.49	-11.65	-18.03	7.437345179730999e-08
2946	8	100	8.2	5.4	-8.49	-11.65	-17.77	9.079973484076999e-08
2958	8	100	8.2	5.4	-8.49	-11.65	-17.52	1.1000638285369999e-07
3066	8	100	8.2	5.4	-8.49	-11.41	-18.28	6.138816114641e-08
3078	8	100	8.2	5.4	-8.49	-11.41	-18.03	7.437345179730999e-08
3090	8	100	8.2	5.4	-8.49	-11.41	-17.77	9.079973484076999e-08
3102	8	100	8.2	5.4	-8.49	-11.41	-17.52	1.1000638285369999e-07
3210	8	100	8.2	5.4	-8.49	-11.16	-18.28	6.138816114641e-08
3222	8	100	8.2	5.4	-8.49	-11.16	-18.03	7.437345179730999e-08
3234	8	100	8.2	5.4	-8.49	-11.16	-17.77	9.079973484076999e-08
3246	8	100	8.2	5.4	-8.49	-11.16	-17.52	1.1000638285369999e-07
3354	8	100	8.2	5.4	-8.49	-10.91	-18.28	6.138816114641e-08
3366	8	100	8.2	5.4	-8.49	-10.91	-18.03	7.437345179730999e-08
3378	8	100	8.2	5.4	-8.49	-10.91	-17.77	9.079973484076999e-08
3390	8	100	8.2	5.4	-8.49	-10.91	-17.52	1.1000638285369999e-07
3462	8	100	8.2	5.4	-8.26	-13.64	-19.04	5.400835445647e-08
3474	8	100	8.2	5.4	-8.26	-13.64	-18.77	9.20223212086e-08
3630	8	100	8.2	5.4	-8.26	-13.39	-18.53	6.275828305413e-08
3642	8	100	8.2	5.4	-8.26	-13.39	-18.28	9.786853448827e-08
3786	8	100	8.2	5.4	-8.26	-13.13	-18.28	5.6428752929700004e-08
3798	8	100	8.2	5.4	-8.26	-13.13	-18.03	7.522166817971999e-08
3810	8	100	8.2	5.4	-8.26	-13.13	-17.77	1.1050784623800002e-07
3930	8	100	8.2	5.4	-8.26	-12.9	-18.28	6.232411294621e-08
3942	8	100	8.2	5.4	-8.26	-12.9	-18.03	7.008130615529e-08
3954	8	100	8.2	5.4	-8.26	-12.9	-17.77	8.200135823779e-08
3966	8	100	8.2	5.4	-8.26	-12.9	-17.52	1.029885121974e-07
4074	8	100	8.2	5.4	-8.26	-12.65	-18.28	6.232411294621e-08
4086	8	100	8.2	5.4	-8.26	-12.65	-18.03	7.550738403782999e-08
4098	8	100	8.2	5.4	-8.26	-12.65	-17.77	9.218411106347e-08
4110	8	100	8.2	5.4	-8.26	-12.65	-17.52	1.11683594554e-07
4122	8	100	8.2	5.4	-8.26	-12.65	-17.26	1.258181306099e-07
4218	8	100	8.2	5.4	-8.26	-12.4	-18.28	6.232411294621e-08
4230	8	100	8.2	5.4	-8.26	-12.4	-18.03	7.550738403782999e-08
4242	8	100	8.2	5.4	-8.26	-12.4	-17.77	9.218411106347e-08
4254	8	100	8.2	5.4	-8.26	-12.4	-17.52	1.11683594554e-07
4362	8	100	8.2	5.4	-8.26	-12.15	-18.28	6.232411294621e-08
4374	8	100	8.2	5.4	-8.26	-12.15	-18.03	7.550738403782999e-08
4386	8	100	8.2	5.4	-8.26	-12.15	-17.77	9.218411106347e-08
4398	8	100	8.2	5.4	-8.26	-12.15	-17.52	1.11683594554e-07
4506	8	100	8.2	5.4	-8.26	-11.9	-18.28	6.232411294621e-08
4518	8	100	8.2	5.4	-8.26	-11.9	-18.03	7.550738403782999e-08
4530	8	100	8.2	5.4	-8.26	-11.9	-17.77	9.218411106347e-08
4542	8	100	8.2	5.4	-8.26	-11.9	-17.52	1.11683594554e-07
4650	8	100	8.2	5.4	-8.26	-11.65	-18.28	6.232411294621e-08
4662	8	100	8.2	5.4	-8.26	-11.65	-18.03	7.550738403782999e-08
4674	8	100	8.2	5.4	-8.26	-11.65	-17.77	9.218411106347e-08
4686	8	100	8.2	5.4	-8.26	-11.65	-17.52	1.11683594554e-07
4794	8	100	8.2	5.4	-8.26	-11.41	-18.28	6.232411294621e-08
4806	8	100	8.2	5.4	-8.26	-11.41	-18.03	7.550738403782999e-08
4818	8	100	8.2	5.4	-8.26	-11.41	-17.77	9.218411106347e-08
4830	8	100	8.2	5.4	-8.26	-11.41	-17.52	1.11683594554e-07
4938	8	100	8.2	5.4	-8.26	-11.16	-18.28	6.232411294621e-08
4950	8	100	8.2	5.4	-8.26	-11.16	-18.03	7.550738403782999e-08
4962	8	100	8.2	5.4	-8.26	-11.16	-17.77	9.218411106347e-08
4974	8	100	8.2	5.4	-8.26	-11.16	-17.52	1.11683594554e-07
5082	8	100	8.2	5.4	-8.26	-10.91	-18.28	6.232411294621e-08
5094	8	100	8.2	5.4	-8.26	-10.91	-18.03	7.550738403782999e-08
5106	8	100	8.2	5.4	-8.26	-10.91	-17.77	9.218411106347e-08
5118	8	100	8.2	5.4	-8.26	-10.91	-17.52	1.11683594554e-07
5190	8	100	8.2	5.4	-8.03	-13.64	-19.04	6.163464192768e-08
5202	8	100	8.2	5.4	-8.03	-13.64	-18.77	1.0622315514430001e-07
5358	8	100	8.2	5.4	-8.03	-13.39	-18.53	7.056220108232e-08
5370	8	100	8.2	5.4	-8.03	-13.39	-18.28	1.117461083389e-07
5514	8	100	8.2	5.4	-8.03	-13.13	-18.28	6.061967670328e-08
5526	8	100	8.2	5.4	-8.03	-13.13	-18.03	8.267433407516e-08
5538	8	100	8.2	5.4	-8.03	-13.13	-17.77	1.240695104535e-07
5646	8	100	8.2	5.4	-8.03	-12.9	-18.53	5.2754542295020005e-08
5658	8	100	8.2	5.4	-8.03	-12.9	-18.28	6.391358597691e-08
5670	8	100	8.2	5.4	-8.03	-12.9	-18.03	7.26653681879e-08
5682	8	100	8.2	5.4	-8.03	-12.9	-17.77	8.670363110462001e-08
5694	8	100	8.2	5.4	-8.03	-12.9	-17.52	1.113505207168e-07
5790	8	100	8.2	5.4	-8.03	-12.65	-18.53	5.2754542295020005e-08
5802	8	100	8.2	5.4	-8.03	-12.65	-18.28	6.391358597691e-08
5814	8	100	8.2	5.4	-8.03	-12.65	-18.03	7.743307551189e-08
5826	8	100	8.2	5.4	-8.03	-12.65	-17.77	9.453511654135e-08
5838	8	100	8.2	5.4	-8.03	-12.65	-17.52	1.1453190476310001e-07
5850	8	100	8.2	5.4	-8.03	-12.65	-17.26	1.3062988657e-07
5934	8	100	8.2	5.4	-8.03	-12.4	-18.53	5.2754542295020005e-08
5946	8	100	8.2	5.4	-8.03	-12.4	-18.28	6.391358597691e-08
5958	8	100	8.2	5.4	-8.03	-12.4	-18.03	7.743307551189e-08
5970	8	100	8.2	5.4	-8.03	-12.4	-17.77	9.453511654135e-08
5982	8	100	8.2	5.4	-8.03	-12.4	-17.52	1.1453190476310001e-07
6078	8	100	8.2	5.4	-8.03	-12.15	-18.53	5.2754542295020005e-08
6090	8	100	8.2	5.4	-8.03	-12.15	-18.28	6.391358597691e-08
6102	8	100	8.2	5.4	-8.03	-12.15	-18.03	7.743307551189e-08
6114	8	100	8.2	5.4	-8.03	-12.15	-17.77	9.453511654135e-08
6126	8	100	8.2	5.4	-8.03	-12.15	-17.52	1.1453190476310001e-07
6222	8	100	8.2	5.4	-8.03	-11.9	-18.53	5.2754542295020005e-08
6234	8	100	8.2	5.4	-8.03	-11.9	-18.28	6.391358597691e-08
6246	8	100	8.2	5.4	-8.03	-11.9	-18.03	7.743307551189e-08
6258	8	100	8.2	5.4	-8.03	-11.9	-17.77	9.453511654135e-08
6270	8	100	8.2	5.4	-8.03	-11.9	-17.52	1.1453190476310001e-07
6366	8	100	8.2	5.4	-8.03	-11.65	-18.53	5.2754542295020005e-08
